ID1;Diam;Err;RA_d;DEC_d
HD109358               ; 1.23800e+00; 3.00000e-02;188.43560;+41.35748
HD114710               ; 1.12700e+00; 1.10000e-02;197.96831;+27.87818
HD118098               ; 8.52000e-01; 9.00000e-03;203.67331;-00.59584
HD126660               ; 1.10900e+00; 7.00000e-03;216.29915;+51.85074
HD128167               ; 8.41000e-01; 1.30000e-02;218.67007;+29.74513
HD131156               ; 1.19600e+00; 1.40000e-02;222.84742;+19.10047
HD141795               ; 7.68000e-01; 1.70000e-02;237.70403;+04.47773
HD142860               ; 1.21700e+00; 5.00000e-03;239.11326;+15.66162
HD146233               ; 7.80000e-01; 1.70000e-02;243.90529;-08.36944
HD162003               ; 9.49000e-01; 2.50000e-02;265.48373;+72.14886
HD164259               ; 7.75000e-01; 2.70000e-02;270.12088;-03.69027
HD173667               ; 1.00000e+00; 6.00000e-03;281.41552;+20.54631
HD177724               ; 8.95000e-01; 1.60000e-02;286.35253;+13.86348
HD182572               ; 8.45000e-01; 2.50000e-02;291.24250;+11.94441
HD185144               ; 1.25400e+00; 1.10000e-02;293.08996;+69.66118
HD185395               ; 8.61000e-01; 1.50000e-02;294.11056;+50.22110
HD210418               ; 8.62000e-01; 1.70000e-02;332.54994;+06.19786
HD213558               ; 6.34000e-01; 2.10000e-02;337.82292;+50.28249
HD215648               ; 1.09100e+00; 8.00000e-03;341.67325;+12.17288
HD222368               ; 1.08200e+00; 9.00000e-03;354.98767;+05.62629
HD1326                 ; 1.00500e+00; 5.00000e-03;004.59535;+44.02295
HD4628                 ; 8.68000e-01; 4.00000e-03;012.09573;+05.28061
HD16160                ; 1.03000e+00; 7.00000e-03;039.02043;+06.88679
HD36395                ; 9.43000e-01; 3.00000e-03;082.86415;-03.67723
HD79210                ; 8.71000e-01; 1.40000e-02;138.59490;+52.68661
HD79211                ; 8.56000e-01; 1.60000e-02;138.60285;+52.68636
HD88230                ; 1.22500e+00; 8.00000e-03;152.84225;+49.45424
HD95735                ; 1.43200e+00; 1.30000e-02;165.83414;+35.96988
GJ412A                 ; 7.64000e-01; 1.60000e-02;166.36907;+43.52678
HD119850               ; 8.35000e-01; 1.30000e-02;206.43240;+14.89152
HD149661               ; 7.24000e-01; 1.10000e-02;249.08937;-02.32459
GJ687                  ; 8.59000e-01; 1.30000e-02;264.10791;+68.33914
GJ699                  ; 9.52000e-01; 5.00000e-03;269.45208;+04.69336
HD165341A              ; 1.51500e+00; 4.00000e-03;271.36404;+02.49981
HD165341B              ; 1.22100e+00; 1.50000e-02;271.36443;+02.49895
HD173739               ; 9.37000e-01; 8.00000e-03;280.69460;+59.63039
HD173740               ; 8.51000e-01; 1.50000e-02;280.69539;+59.62687
HD199305               ; 7.22000e-01; 8.00000e-03;313.33245;+62.15439
HD216899               ; 7.44000e-01; 4.00000e-03;344.14502;+16.55343
HD219134               ; 1.10600e+00; 7.00000e-03;348.32073;+57.16835
HIP19849               ; 1.50400e+00; 6.00000e-03;063.81800;-07.65287
HD49933                ; 4.45000e-01; 1.20000e-02;102.70763;-00.54088
HD89449                ; 7.31000e-01; 3.00000e-02;154.93403;+19.47091
HD173701               ; 3.32000e-01; 6.00000e-03;281.14633;+43.83327
HD175726               ; 3.46000e-01; 7.00000e-03;284.15488;+04.26513
HD177153               ; 2.89000e-01; 6.00000e-03;285.41533;+41.49009
HD181420               ; 3.40000e-01; 1.00000e-02;290.11280;-01.30976
HD187637               ; 2.31000e-01; 6.00000e-03;297.32558;+41.58246
HD190406               ; 5.84000e-01; 1.00000e-02;301.02592;+17.07019
HD210027               ; 1.20600e+00; 5.30000e-02;331.75276;+25.34510
HD218396               ; 3.42000e-01; 8.00000e-03;346.86965;+21.13425
HD166                  ; 6.24000e-01; 9.00000e-03;001.65327;+29.02150
HD6210                 ; 5.20000e-01; 6.00000e-03;016.08104;+61.58018
HD10476                ; 1.00000e+00; 4.00000e-03;025.62401;+20.26852
HD10697                ; 5.47000e-01; 1.20000e-02;026.23260;+20.08315
HD11964                ; 6.07000e-01; 1.50000e-02;029.29003;-10.24243
HD16765                ; 4.97000e-01; 7.00000e-03;040.30832;-00.69566
HD21019                ; 6.06000e-01; 1.50000e-02;050.82375;-07.79410
HD38858                ; 5.72000e-01; 9.00000e-03;087.14558;-04.09464
HD69897                ; 7.06000e-01; 1.30000e-02;125.01609;+27.21771
HD130948               ; 5.69000e-01; 1.10000e-02;222.56588;+23.91184
HD136202               ; 7.85000e-01; 2.30000e-02;229.82832;+01.76541
HD140538               ; 5.97000e-01; 1.50000e-02;236.00758;+02.51517
HD157214               ; 7.25000e-01; 1.20000e-02;260.16486;+32.46774
HD158633               ; 5.73000e-01; 1.00000e-02;261.25041;+67.30671
HD168151               ; 7.13000e-01; 8.00000e-03;273.47430;+64.39728
HD186408               ; 5.54000e-01; 1.10000e-02;295.45397;+50.52506
HD186427               ; 5.13000e-01; 1.10000e-02;295.46655;+50.51752
HD195564               ; 7.12000e-01; 3.00000e-02;308.09873;-09.85339
HD206860               ; 5.30000e-01; 1.40000e-02;326.13054;+14.77194
HD217014               ; 6.85000e-01; 1.10000e-02;344.36658;+20.76883
HD217107               ; 5.67000e-01; 8.00000e-03;344.56475;-02.39539
HD219623               ; 5.42000e-01; 1.60000e-02;349.17626;+53.21348
HD222603               ; 5.81000e-01; 1.20000e-02;355.51169;+01.78004
HD225217               ; 2.57700e+00; 2.10000e-02;001.15170;+43.55131
HD2342                 ; 3.86700e+00; 1.50000e-02;006.88201;+35.58736
HD19881                ; 2.35700e+00; 1.10000e-02;048.41102;+47.82608
IRC+40067              ; 3.28100e+00; 1.80000e-02;056.26421;+44.78105
HD30443                ; 1.43000e+00; 9.40000e-02;072.31675;+35.00180
HD280188               ; 3.39900e+00; 2.80000e-02;073.14531;+38.50553
HD33016                ; 2.94500e+00; 3.60000e-02;077.27278;+39.00235
HD34467                ; 2.23700e+00; 4.90000e-02;079.79253;+35.79234
HIP25004               ; 3.28300e+00; 4.20000e-02;080.30572;+07.35538
HD38218                ; 3.89400e+00; 1.10000e-02;086.30719;+24.42012
HD247224               ; 1.60200e+00; 6.90000e-02;086.36053;+15.51258
HD38572                ; 2.66400e+00; 2.70000e-02;087.03407;+30.63109
HD38521                ; 2.33100e+00; 4.60000e-02;087.18489;+44.91027
HIP29896               ; 3.50000e+00; 2.20000e-02;094.42540;+08.51983
HIP31349               ; 3.86400e+00; 1.50000e-02;098.59965;+16.07509
HD46321                ; 2.12600e+00; 6.40000e-02;098.68594;+42.50355
HD47883                ; 2.18700e+00; 2.80000e-02;100.53578;+31.45488
HD48664                ; 2.88300e+00; 4.00000e-02;101.16957;+03.31634
HD51620                ; 3.42100e+00; 6.20000e-02;104.58954;+06.16710
HD54361                ; 4.89000e+00; 1.60000e-02;107.01432;-11.92328
IRC+10158              ; 2.94600e+00; 4.60000e-02;108.91204;+05.06101
HD57160                ; 2.21300e+00; 2.80000e-02;110.24586;+24.99947
HD59643                ; 1.49900e+00; 6.60000e-02;112.97717;+24.50348
HD60826                ; 2.39600e+00; 7.00000e-02;114.12126;+02.07893
HD70072                ; 4.11200e+00; 1.10000e-02;125.02633;+02.76561
HD144578               ; 1.58200e+00; 1.50000e-02;241.05587;+50.49916
HD173291               ; 3.94500e+00; 6.00000e-03;280.70835;+36.95858
HIP92194               ; 3.44700e+00; 5.00000e-03;281.83760;+05.45517
HIC 95024              ; 3.93300e+00; 2.40000e-02;290.03813;+37.87692
HIP95777               ; 3.38700e+00; 1.00000e-02;292.19820;+46.04393
HD186047               ; 3.30500e+00; 2.40000e-02;295.23757;+32.61827
HIP99336               ; 2.15600e+00; 1.28000e-01;302.43428;+41.49346
HD191783               ; 2.38200e+00; 1.70000e-02;302.59758;+35.94706
HIP102764              ; 2.90200e+00; 1.00000e-02;312.31753;+33.22978
HIP105539              ; 2.57600e+00; 7.00000e-03;320.61962;+42.39624
IRC+50399              ; 2.06900e+00; 9.80000e-02;326.66113;+52.56745
HD208512               ; 3.95400e+00; 2.50000e-02;328.80737;+50.49715
HD208526               ; 2.98800e+00; 1.27000e-01;329.09308;+22.86182
HIP113715              ; 2.45600e+00; 5.00000e-03;345.45611;+45.88586
HD220870               ; 1.90400e+00; 8.00000e-03;351.73901;+49.51638
HD1760                 ; 9.70000e+00; 8.00000e-03;005.44280;-20.05802
HD4128                 ; 5.51000e+00; 2.50000e-03;010.89738;-17.98661
HD8879                 ; 1.00600e+01; 5.00000e-03;021.74206;-32.54318
HD24512                ; 8.79000e+00; 9.00000e-03;056.80975;-74.23896
HD25705                ; 7.44000e+00; 2.00000e-03;060.22420;-62.15928
HD30959                ; 9.78000e+00; 1.00000e-03;073.13319;+14.25065
HD32736                ; 9.63000e+00; 4.00000e-03;076.34883;+01.17763
HD36389                ; 9.97000e+00; 8.00000e-03;083.05314;+18.59423
HD45348                ; 6.92000e+00; 1.10000e-03;095.98796;-52.69566
HD81797                ; 9.36000e+00; 6.00000e-03;141.89684;-08.65860
HD133216               ; 1.13300e+01; 1.00000e-03;226.01757;-25.28196
HD146051               ; 9.93000e+00; 9.00000e-03;243.58641;-03.69432
HD150798               ; 9.24000e+00; 2.00000e-03;252.16623;-69.02771
HD152786               ; 7.09000e+00; 1.20000e-03;254.65505;-55.99014
HD158377               ; 9.46000e+00; 3.00000e-03;262.43193;-19.47302
HD223075               ; 1.02300e+01; 3.60000e-03;356.59797;+03.48681
HD3360                 ; 3.11000e-01; 1.00000e-02;009.24285;+53.89691
HD5448                 ; 7.08000e-01; 1.20000e-02;014.18832;+38.49927
HD32630                ; 4.53000e-01; 1.10000e-02;076.62872;+41.23448
HD89449                ; 7.31000e-01; 2.60000e-02;154.93403;+19.47091
HD95608                ; 4.30000e-01; 1.60000e-02;165.58240;+20.17984
HD97633                ; 7.40000e-01; 2.30000e-02;168.56002;+15.42957
HD176437               ; 7.53000e-01; 8.00000e-03;284.73593;+32.68956
HD202850               ; 5.27000e-01; 1.40000e-02;319.35397;+39.39468
HD217675               ; 5.08000e-01; 1.20000e-02;345.48027;+42.32598
HD219080               ; 6.48000e-01; 6.00000e-03;348.13752;+49.40621
2MASS J17454004-2900225; 1.11600e+00; 9.30000e-02;266.41661;-29.00618
HD24398                ; 5.40000e-01; 7.00000e-03;058.53301;+31.88363
HD35468                ; 7.10000e-01; 5.00000e-03;081.28276;+06.34970
HD160762               ; 3.10000e-01; 1.00000e-02;264.86619;+46.00633
HD176437               ; 7.60000e-01; 1.00000e-02;284.73593;+32.68956
HD177756               ; 5.40000e-01; 3.00000e-03;286.56225;-04.88256
HD184171               ; 2.30000e-01; 1.10000e-02;292.94301;+34.45297
HD186882               ; 7.90000e-01; 4.00000e-03;296.24366;+45.13081
HD214923               ; 5.50000e-01; 9.00000e-03;340.36550;+10.83136
HD39801                ; 4.22800e+01; 4.10000e-01;088.79294;+07.40706
HD185351               ; 1.12000e+00; 1.60000e-02;294.15823;+44.69493
HD185351               ; 1.13300e+00; 9.00000e-03;294.15823;+44.69493
HD432                  ; 2.02700e+00; 1.22000e-01;002.29452;+59.14978
BD+57150A              ; 1.89400e+00; 1.14000e-01;012.27621;+57.81519
HD9826                 ; 1.02100e+00; 6.00000e-02;024.19934;+41.40546
HD10476                ; 1.06700e+00; 6.40000e-02;025.62401;+20.26852
HD10700                ; 2.01500e+00; 2.30000e-02;026.01701;-15.93748
HD13161                ; 1.05000e+00; 1.00000e-01;032.38595;+34.98730
HD13974                ; 1.10500e+00; 1.11000e-01;034.26348;+34.22423
HD16895                ; 1.08600e+00; 5.60000e-02;041.04995;+49.22845
HD19373                ; 1.08600e+00; 5.60000e-02;047.26675;+49.61328
HD20630                ; 8.95000e-01; 7.00000e-02;049.84040;+03.37020
HD22049                ; 2.12600e+00; 1.31000e-01;053.23269;-09.45826
HD22484                ; 1.13000e+00; 6.80000e-02;054.21727;+00.39959
HD30652                ; 1.40900e+00; 5.00000e-02;072.46005;+06.96127
HD34411                ; 9.40000e-01; 5.60000e-02;079.78531;+40.09905
HD38393                ; 1.87100e+00; 1.12000e-01;086.11580;-22.44838
HD38678                ; 6.70000e-01; 1.40000e-01;086.73892;-14.82195
HD39587                ; 1.12400e+00; 5.70000e-02;088.59576;+20.27617
HD40136                ; 9.87000e-01; 5.90000e-02;089.10122;-14.16770
HD56537                ; 6.44000e-01; 6.00000e-03;109.52325;+16.54039
HD88230                ; 1.23800e+00; 5.40000e-02;152.84225;+49.45424
HD95128                ; 7.74000e-01; 7.30000e-02;164.86656;+40.43026
HD95418                ; 1.07800e+00; 6.50000e-02;165.46032;+56.38243
HD95735                ; 1.43900e+00; 5.00000e-02;165.83414;+35.96988
HD102647               ; 1.33900e+00; 8.70000e-02;177.26491;+14.57206
HD102870               ; 1.43100e+00; 8.60000e-02;177.67383;+01.76472
HD106591               ; 8.23000e-01; 4.90000e-02;183.85650;+57.03262
HD109085               ; 8.33000e-01; 5.00000e-02;188.01761;-16.19600
HD114710               ; 1.07100e+00; 5.80000e-02;197.96831;+27.87818
HD115617               ; 1.16400e+00; 1.16000e-01;199.60131;-18.31120
HD117176               ; 9.53000e-01; 6.20000e-02;202.10754;+13.77879
HD120136               ; 8.64000e-01; 6.60000e-02;206.81560;+17.45690
HD131977               ; 1.49000e+00; 8.90000e-02;224.36667;-21.41548
HD142091               ; 1.55000e+00; 9.30000e-02;237.80805;+35.65738
HD142860               ; 1.16100e+00; 5.50000e-02;239.11326;+15.66162
HD161868               ; 6.30000e-01; 6.30000e-02;266.97317;+02.70728
HD165341               ; 2.03700e+00; 1.22000e-01;271.36369;+02.50010
HD172167               ; 3.30600e+00; 3.00000e-02;279.23473;+38.78369
HD177724               ; 8.88000e-01; 1.36000e-01;286.35253;+13.86348
HD187642               ; 3.64000e+00; 3.00000e-02;297.69583;+08.86832
HD201091               ; 1.77500e+00; 1.30000e-02;316.72475;+38.74942
HD203280               ; 1.57700e+00; 9.50000e-02;319.64488;+62.58557
HD210027               ; 1.07000e+00; 1.00000e-01;331.75276;+25.34510
HD216956               ; 2.22300e+00; 2.20000e-02;344.41269;-29.62224
HD222368               ; 1.06200e+00; 1.35000e-01;354.98767;+05.62629
HD19356                ; 1.35000e+00; 1.00000e-01;047.04222;+40.95565
HD83808                ; 1.34700e+00; 8.10000e-02;145.28764;+09.89231
HD139006               ; 1.20200e+00; 5.60000e-02;233.67195;+26.71469
HD219615               ; 2.34000e+00; 4.00000e-02;349.29141;+03.28229
HD140283               ; 3.53000e-01; 1.20000e-02;235.76290;-10.93350
HD97671                ; 5.08000e+00; 7.50000e-01;168.37489;-60.09135
HD95687                ; 3.26000e+00; 5.00000e-01;165.39900;-61.04884
HD183589               ; 3.04000e+00; 5.00000e-01;292.54390;+02.90407
HD118022               ; 3.46000e-01; 6.00000e-03;203.53305;+03.65896
HD69830                ; 6.74000e-01; 1.40000e-02;124.59978;-12.63217
HD117176               ; 9.98000e-01; 4.00000e-03;202.10754;+13.77879
HD62044                ; 2.41700e+00; 7.00000e-03;115.82803;+28.88351
HD175306               ; 2.18900e+00; 7.00000e-03;282.80039;+59.38835
HD103287               ; 9.22000e-01; 1.10000e-01;178.45770;+53.69476
HD106591               ; 8.04000e-01; 9.00000e-02;183.85650;+57.03262
HD116842               ; 6.84500e-01; 4.40000e-02;201.30641;+54.98796
HD141003               ; 6.79000e-01; 7.00000e-02;236.54689;+15.42183
HD177196               ; 4.06500e-01; 5.00000e-02;285.35993;+46.93476
HD180777               ; 5.08500e-01; 1.10000e-02;287.29117;+76.56050
HD189733               ; 3.84800e-01; 4.60000e-03;300.18214;+22.71085
HD209458               ; 2.25400e-01; 6.60000e-03;330.79489;+18.88432
HD3651                 ; 7.22000e-01; 7.00000e-03;009.84086;+21.25048
HD9826                 ; 1.16100e+00; 2.60000e-02;024.19934;+41.40546
HD19994                ; 7.61000e-01; 1.00000e-02;048.19349;-01.19610
HD75732                ; 7.24000e-01; 1.10000e-02;133.14921;+28.33082
HD167042               ; 1.05600e+00; 1.30000e-02;272.63184;+54.28655
HD170693               ; 2.09700e+00; 9.00000e-03;276.49641;+65.56347
HD173416               ; 9.95000e-01; 3.30000e-02;280.90046;+36.55661
HD185395               ; 7.49000e-01; 7.00000e-03;294.11056;+50.22110
HD190360               ; 6.22000e-01; 6.00000e-03;300.90585;+29.89680
HD217014               ; 6.50000e-01; 1.30000e-02;344.36658;+20.76883
HD221345               ; 1.48900e+00; 2.90000e-02;352.82255;+39.23620
HD1367                 ; 7.54000e-01; 1.30000e-02;004.44874;+01.68873
HD1671                 ; 6.00000e-01; 6.00000e-03;005.28029;+37.96860
HD154633               ; 8.04000e-01; 1.10000e-02;255.56562;+64.60074
HD161178               ; 9.44000e-01; 4.00000e-02;264.28702;+72.45579
HD168151               ; 6.64000e-01; 1.40000e-02;273.47430;+64.39728
HD209369               ; 6.21000e-01; 1.70000e-02;329.81236;+73.17989
HD218560               ; 9.27000e-01; 2.00000e-02;346.98835;+64.22252
HD39801                ; 4.31500e+01; 5.00000e-01;088.79294;+07.40706
HD24712                ; 3.35000e-01; 9.00000e-03;058.81721;-12.09909
GJ 65A                 ; 5.73000e-01; 2.00000e-02;024.75574;-17.95067
GJ 65B                 ; 5.54000e-01; 2.10000e-02;024.75681;-17.95031
HD2774                 ; 1.30300e+00; 2.30000e-02;007.92149;+52.83953
HD6497                 ; 7.31000e-01; 4.40000e-02;016.75073;+56.93497
HD13982                ; 1.16900e+00; 3.20000e-02;034.49953;+57.89982
HD31579                ; 1.59300e+00; 8.00000e-03;074.94303;+53.15545
HD153956               ; 9.83000e-01; 2.30000e-02;254.83966;+56.68861
HD157681               ; 1.90800e+00; 1.30000e-02;260.43903;+53.42043
HD184293               ; 1.54800e+00; 2.20000e-02;292.83055;+50.30671
HD216174               ; 1.59800e+00; 1.20000e-02;342.44298;+55.90278
HD218029               ; 1.86200e+00; 4.40000e-02;345.88701;+67.20921
HD432                  ; 2.21800e+00; 5.80000e-02;002.29452;+59.14978
HD12929                ; 6.79200e+00; 4.30000e-02;031.79336;+23.46242
HD62509                ; 8.01800e+00; 4.30000e-02;116.32896;+28.02620
HD94264                ; 2.46200e+00; 5.40000e-02;163.32794;+34.21487
HD140573               ; 4.80700e+00; 3.50000e-02;236.06698;+06.42563
HD148387               ; 3.35500e+00; 7.70000e-02;245.99786;+61.51421
HD153210               ; 3.60800e+00; 4.10000e-02;254.41707;+09.37503
HD161096               ; 4.49800e+00; 3.20000e-02;265.86814;+04.56730
HD168723               ; 3.06200e+00; 4.80000e-02;275.32750;-02.89883
HD198149               ; 2.88200e+00; 8.80000e-02;311.32240;+61.83878
HD222404               ; 3.32900e+00; 4.20000e-02;354.83709;+77.63236
HD84810                ; 3.24840e+00; 4.00000e-04;146.31171;-62.50791
HD84810                ; 3.24800e+00; 4.00000e-04;146.31171;-62.50791
HD84810                ; 3.24820e+00; 4.00000e-04;146.31171;-62.50791
HD84810                ; 3.23590e+00; 7.00000e-04;146.31171;-62.50791
HD84810                ; 2.73130e+00; 3.00000e-04;146.31171;-62.50791
HD84810                ; 2.69180e+00; 1.00000e-03;146.31171;-62.50791
HD84810                ; 2.69050e+00; 4.00000e-04;146.31171;-62.50791
HD84810                ; 2.69470e+00; 3.00000e-04;146.31171;-62.50791
HD84810                ; 2.70580e+00; 4.00000e-04;146.31171;-62.50791
HD84810                ; 2.93900e+00; 2.60000e-03;146.31171;-62.50791
HD84810                ; 2.98870e+00; 3.70000e-03;146.31171;-62.50791
HD84810                ; 3.25310e+00; 3.00000e-04;146.31171;-62.50791
HD84810                ; 3.26720e+00; 4.00000e-04;146.31171;-62.50791
HD84810                ; 3.27260e+00; 3.00000e-04;146.31171;-62.50791
HD84810                ; 3.27230e+00; 4.00000e-04;146.31171;-62.50791
HD84810                ; 3.24380e+00; 5.00000e-04;146.31171;-62.50791
HD4502                 ; 2.50200e+00; 8.00000e-03;011.83469;+24.26718
V766 Cen               ; 3.86000e+00; 9.00000e-01;206.79528;-62.58971
HD157999               ; 3.41000e+00; 9.00000e-01;261.62867;+04.14036
HD160371               ; 2.49000e+00; 3.50000e-01;265.24394;-32.21446
HD206859               ; 1.86000e+00; 5.00000e-01;326.12790;+17.35002
HD119796               ; 3.86000e+00; 9.00000e-01;206.79528;-62.58971
HD157999               ; 3.35000e+00; 9.00000e-01;261.62867;+04.14036
HD160371               ; 2.45000e+00; 3.50000e-01;265.24394;-32.21446
HD206859               ; 1.83000e+00; 5.00000e-01;326.12790;+17.35002
HD128620               ; 8.50200e+00; 3.80000e-02;219.90206;-60.83399
HD128621               ; 5.99900e+00; 2.50000e-02;219.89610;-60.83753
HD128620               ; 8.50200e+00; 3.80000e-02;219.90206;-60.83399
HD128621               ; 5.99900e+00; 2.50000e-02;219.89610;-60.83753
HD68860                ; 3.10000e-02;            ;123.26757;-34.57853
HD68860                ; 2.70000e-02;            ;123.26757;-34.57853
HD68860                ; 2.50000e-02;            ;123.26757;-34.57853
HD68860                ; 2.90000e-02;            ;123.26757;-34.57853
HD68860                ; 3.50000e-02;            ;123.26757;-34.57853
HD68860                ; 2.50000e-02;            ;123.26757;-34.57853
HD68860                ; 2.20000e-02;            ;123.26757;-34.57853
HD68860                ; 3.00000e-02;            ;123.26757;-34.57853
HD68860                ; 1.90000e-02;            ;123.26757;-34.57853
HD68860                ; 1.70000e-02;            ;123.26757;-34.57853
HD68860                ; 2.30000e-01;            ;123.26757;-34.57853
HD197989               ; 4.61000e+00; 2.00000e-02;311.55284;+33.97026
HD189276               ; 2.95000e+00; 1.00000e-02;298.98075;+58.84597
HD161096               ; 4.43000e+00; 1.00000e-02;265.86814;+04.56730
HD27376                ; 3.90000e-01; 3.00000e-02;064.47359;-33.79835
HD8879                 ; 9.25000e+00; 3.00000e-01;021.74206;-32.54318
HD8879                 ; 8.79000e+00; 1.50000e-01;021.74206;-32.54318
HD8879                 ; 9.17000e+00; 4.00000e-01;021.74206;-32.54318
HD16161                ; 5.89000e+00; 5.00000e-02;038.96864;+05.59325
HD22928                ; 5.44000e-01; 7.00000e-03;055.73127;+47.78755
HD22928                ; 6.10000e-01; 7.00000e-03;055.73127;+47.78755
HD432                  ; 2.10300e+00; 1.50000e-02;002.29452;+59.14978
HIP80824               ; 6.95000e-01; 1.80000e-02;247.57524;-12.66259
HD21242                ; 9.70000e-01; 2.00000e-02;051.64740;+28.71506
HD360                  ; 9.06000e-01; 1.50000e-02;002.07305;-08.82411
HD3750                 ; 1.00300e+00; 2.00000e-02;009.96646;-44.79629
HD4211                 ; 1.10000e+00; 1.10000e-02;011.05041;-38.42168
HD5722                 ; 9.95000e-01; 1.90000e-02;014.68278;-11.37998
HD8651                 ; 1.22800e+00; 1.30000e-02;021.16995;-41.49255
HD9362                 ; 2.30100e+00; 2.10000e-02;022.81294;-49.07270
HD10142                ; 9.64000e-01; 6.00000e-03;024.61452;-36.52825
HD11977                ; 1.52800e+00; 1.30000e-02;028.73388;-67.64730
HD12438                ; 1.09100e+00; 1.60000e-02;030.31134;-30.00183
HD13468                ; 8.86000e-01; 1.00000e-02;032.89931;-01.82543
HD15220                ; 1.18500e+00; 1.60000e-02;036.64674;-20.04262
HD15248                ; 9.49000e-01; 1.90000e-02;035.71796;-73.64579
HD15779                ; 1.18500e+00; 1.40000e-02;038.03926;-01.03490
HD16815                ; 2.24800e+00; 1.40000e-02;040.16681;-39.85538
HD17652                ; 1.83500e+00; 1.40000e-02;042.27258;-32.40590
HD17824                ; 1.39100e+00; 1.50000e-02;042.75967;-21.00402
HD18784                ; 1.03600e+00; 1.40000e-02;045.29177;-07.66301
HD23319                ; 2.03300e+00; 1.40000e-02;055.70856;-37.31352
HD23526                ; 9.15000e-01; 2.10000e-02;056.53902;+06.80352
HD23940                ; 1.09300e+00; 2.10000e-02;056.98350;-30.16788
HD26464                ; 1.08900e+00; 1.20000e-02;062.69902;-08.81982
HD30814                ; 1.31000e+00; 1.00000e-02;072.54840;-16.21716
HD35369                ; 2.01200e+00; 1.60000e-02;080.98678;-07.80806
HD36874                ; 1.11800e+00; 1.10000e-02;083.28078;-35.13937
HD39523                ; 1.93900e+00; 1.60000e-02;087.45692;-56.16666
HD39640                ; 1.25100e+00; 1.70000e-02;087.72176;-52.10887
HD39910                ; 1.09000e+00; 8.00000e-03;088.87572;-04.61654
HD40020                ; 1.01200e+00; 2.30000e-02;089.20604;+11.52106
HD43899                ; 1.26400e+00; 1.70000e-02;094.25513;-37.73744
HD45415                ; 1.08000e+00; 6.10000e-02;096.83521;+02.90829
HD46116                ; 1.14500e+00; 3.10000e-02;096.36930;-69.69030
HD53629                ; 1.06500e+00; 2.40000e-02;106.19605;-22.03169
HD54131                ; 1.06100e+00; 2.10000e-02;107.09183;+15.93068
HD56160                ; 1.41100e+00; 1.20000e-02;108.71317;-27.03799
HD60060                ; 9.48000e-01; 1.00000e-02;112.49885;-52.65116
HD60341                ; 1.19000e+00; 2.20000e-02;113.33152;-19.41253
HD62412                ; 9.50000e-01; 1.40000e-02;115.70064;-26.35133
HD62713                ; 1.44600e+00; 1.20000e-02;115.92470;-40.93375
HD68312                ; 1.02000e+00; 2.30000e-02;122.88752;-07.77254
HD74622                ; 1.02000e+00; 1.50000e-02;130.58676;-55.77456
HD75916                ; 1.01300e+00; 2.10000e-02;133.12818;-13.23294
HD176704               ; 1.31700e+00; 1.20000e-02;285.61531;-24.84682
HD177873               ; 1.95800e+00; 2.90000e-02;287.08737;-40.49670
HD188887               ; 1.59500e+00; 1.10000e-02;300.46859;-66.94396
HD191584               ; 1.02400e+00; 2.20000e-02;303.09933;-42.78006
HD204381               ; 1.52400e+00; 1.70000e-02;322.18084;-21.80718
HD219784               ; 2.11700e+00; 2.50000e-02;349.70600;-32.53202
HD220572               ; 1.09200e+00; 1.30000e-02;351.33110;-56.84898
HD115383               ; 7.10000e-01; 1.90000e-02;199.19382;+09.42416
HD1013                 ; 4.35900e+00; 2.20000e-02;003.65069;+20.20670
HD1522                 ; 3.31000e+00; 6.20000e-02;004.85698;-08.82392
HD8512                 ; 2.76400e+00; 1.60000e-02;021.00586;-08.18326
HD9927                 ; 3.64900e+00; 7.00000e-03;024.49815;+48.62821
HD17709                ; 3.90700e+00; 2.10000e-02;042.87850;+35.05974
HD18925                ; 3.89400e+00; 1.80000e-02;046.19913;+53.50644
HD20644                ; 3.67400e+00; 2.50000e-02;050.08484;+29.04846
HD28305                ; 2.59200e+00; 5.00000e-02;067.15416;+19.18043
HD31964                ; 2.21000e+00; 1.20000e-02;075.49220;+43.82330
HD34085                ; 2.60600e+00; 9.00000e-03;078.63447;-08.20164
HD38944                ; 4.31000e+00; 3.60000e-02;087.76016;+37.30557
HD43232                ; 3.09700e+00; 3.40000e-02;093.71389;-06.27477
HD48329                ; 4.67700e+00; 1.30000e-02;100.98303;+25.13113
HD58207                ; 2.39000e+00; 2.40000e-02;111.43165;+27.79808
HD62345                ; 2.36100e+00; 2.50000e-02;116.11189;+24.39800
HD62509                ; 8.13400e+00; 1.30000e-02;116.32896;+28.02620
HD66141                ; 2.74700e+00; 3.90000e-02;120.56640;+02.33457
HD69267                ; 5.16700e+00; 3.50000e-02;124.12884;+09.18554
HD70272                ; 4.22800e+00; 2.40000e-02;125.70879;+43.18813
HD76294                ; 3.19600e+00; 1.70000e-02;133.84844;+05.94557
HD82308                ; 4.14300e+00; 2.50000e-02;142.93011;+22.96797
HD82328                ; 1.66200e+00; 1.30000e-02;143.21431;+51.67730
HD83618                ; 3.46200e+00; 3.30000e-02;144.96401;-01.14281
HD84441                ; 2.58700e+00; 2.50000e-02;146.46281;+23.77426
HD85503                ; 2.88700e+00; 1.60000e-02;148.19090;+26.00695
HD87901                ; 1.66400e+00; 3.70000e-02;152.09296;+11.96721
HD94264                ; 2.62600e+00; 9.00000e-03;163.32794;+34.21487
