angDist,_RAJ2000,_DEJ2000,recno,Tycho,more,Name,Dist,chi2,Av,Fbol,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad,_RA,_DE,_RAJ2000_2,_DEJ2000_2,HIP,RAJ2000,DEJ2000,D,dplx,AV,Teff,L,Rad,log(g),T(AV),L(Av),T(ABJ),L(ABJ),Q,X(MIR),X'(MIR),S(MIR),Rmax,L(XS),f(XS),l(XS),G/H,F(U),F(u),F(BT),F(B),F(g),F(Hp),F(VT),F(V),F(r),F(i),F(I),F(z),F(J),F(H),F(Ks),F(W1),F(L),F(W2),F(MA),F(A9),F(W3),F(I12),F(MC),F(MD),F(A18),F(ME),F(W4),F(I25),Gaia
0.003991,133.1492122,28.3308197,102,1949-2012-1,*,55 Cnc b,,0.61,0.0,1.2E-7,350.24,,,,,,0,Simbad,133.14921,28.33082,133.14921306,28.33081889,43587,133.149213,28.330819,12.341,0.009,0.247,6139,0.495,0.623,4.88,5746,0.484,0,0.0,0.59,0.0,0.0,0.0,1.893,0.0,0.0,0.0,H,,,6039.859,,,13540.652,14484.494,15241.365,,,,,19737.326,3760.971,16516.973,,,,,,,,,,,,,,Gaia
0.013395,138.7891714,23.3755506,103,1951-1006-1,*,HD 79498 b,,1.11,0.0,1.6E-8,105.93,,,,,,0,Simbad,138.78917,23.37555,138.789175,23.37554889,45406,138.789175,23.375549,46.104,0.029,0.303,5624,1.059,1.085,4.344,5658,1.082,0,0.0,0.079,1.331,1.377,4.259,1.336,0.0,0.0,0.0,H,,,1097.051,,,1989.388,2164.23,,,,2823.75,,2897.933,2402.702,1629.035,,,,,192.201,,,,,,,,,Gaia
0.012010,148.1909022,26.0069533,104,1964-1473-1,*,mu Leo b,,3.97,0.0,1.1E-6,1407.71,,,,,,0,Simbad,148.1909,26.00695,148.190905,26.00695111,48455,148.190905,26.006951,38.052,0.006,0.243,4504,51.395,11.79,2.306,4458,53.901,0,0.0,0.077,0.933,0.953,0.0,1.213,0.0,0.0,6.2,H,,,25131.984,,,89924.821,93347.638,102005.567,,186482.4,,,269456.285,,216735.701,,98699.679,,,20069.99,,,,,4391.02,,,,Gaia
0.023652,157.0625458,25.5731944,105,1973-954-1,*,KELT-4 A b,,1.68,0.0,2.7E-9,37.14,,,,,,1,Simbad,157.06255,25.57319,157.06254389,25.57318806,51260,157.062544,25.573188,233.096,0.062,0.068,6098,4.38,1.878,3.943,6006,4.34,0,0.0,0.039,1.041,1.048,1.866,1.076,2.0E-4,3.5E-5,4.6,G,,,225.853,,295.139,339.688,361.829,,396.667,,,,394.174,312.104,223.013,111.974,,60.338,,,11.115,,,,,,,,Gaia
0.016821,168.6381719,25.7103861,106,1981-1168-1,*,HD 97658 b,21.53,2.49,0.0,2.5E-8,160.74,0.74,3.06,0.89,0.21,0.03,1,Simbad,168.63817,25.71039,168.63817694,25.710385,54906,168.638177,25.710385,21.534,0.005,0.048,5138,0.352,0.75,4.6,5249,0.36,0,0.0,0.028,1.037,1.039,2.041,1.077,0.0,1.4E-5,8.6,G,,,1176.594,,,2604.711,2709.588,2861.698,,,,,5263.666,4807.286,3391.021,,,,283.391,308.301,,,,,,,,,Gaia
0.014223,175.5462217,26.7065703,107,1984-2613-1,*,GJ 436 b,,3.57,0.0,7.6E-9,204.88,,,,,,0,Simbad,175.54622,26.70657,175.54622611,26.70657,57087,175.546226,26.70657,9.749,0.003,0.084,3378,0.023,0.443,4.474,3390,0.023,0,0.0,0.053,1.008,0.0,0.17,1.1,0.0,0.0,0.0,G,,,,,,199.6,186.94,185.62,,,,,,,,,,,289.512,,,,,,,,,,Gaia
0.015934,187.6120075,22.8798272,109,1989-2141-1,*,HD 108874 b,59.26,2.12,0.0,8.9E-9,82.2,1.05,,1.1,,1.42,1,Simbad,187.61201,22.87983,187.61201194,22.87982889,61028,187.612012,22.879829,59.262,0.014,0.06,5424,0.946,1.103,4.286,5243,0.92,0,0.0,0.077,1.296,1.347,3.969,1.306,0.0,0.0,0.0,G,,,527.505,,,1030.67,1110.973,,,,,,1625.131,1466.56,999.84,,,,,113.1,,,,,,,,,Gaia
0.003194,200.1647583,24.6486972,110,1994-2335-1,*,HD 116029 b,122.38,1.06,0.03,2.5E-8,186.04,4.89,,0.83,,1.4,1,Simbad,200.16476,24.6487,200.16475806,24.64869806,65117,200.164758,24.648698,122.376,0.035,0.037,4797,11.222,4.857,3.03,4721,11.21,0,0.0,0.028,1.007,1.009,0.511,1.072,5.0E-4,4.1E-5,5.9,G,,,842.998,,,2273.001,2406.043,2609.9,,,,,5557.613,5627.299,4076.904,1963.888,,,,373.301,194.761,,,,,,52.864,,Gaia
0.006033,230.0356617,29.6162081,111,2031-1389-1,*,omicron CrB b,,1.47,0.0,2.1E-7,556.83,,,,,,0,Simbad,230.03566,29.61621,230.03566,29.61620889,75049,230.03566,29.616209,82.781,0.036,0.159,4683,44.571,10.156,2.397,4780,45.732,0,0.0,0.197,0.975,1.054,0.0,1.208,0.0025,5.7E-5,3.7,H,,,7554.866,,,20191.082,21345.353,22731.279,,,14562.175,,55218.972,55296.795,44702.36,,,,,3367.0,1884.095,,,,788.5,,517.562,,Gaia
0.007436,239.3968811,26.8778789,112,2037-1826-1,*,epsilon CrB b,,3.81,0.0,9.1E-7,1393.77,,,,,,0,Simbad,239.39688,26.87788,239.39688306,26.87788,78159,239.396883,26.87788,67.889,0.014,0.263,4428,135.116,19.778,1.83,4460,140.211,0,0.0,0.061,0.96,0.96,0.0,1.149,0.0042,3.1E-5,6.0,H,,,20092.167,,,71469.309,73401.229,80061.528,,142770.292,,,231040.607,260075.808,196847.75,,99209.152,,,18480.051,9556.589,,,,3991.99,,2713.702,,Gaia
