angDist,_RAJ2000,_DEJ2000,recno,Name,m_Name,H09,logg,Teff,Fbol,[Fe/H],[a/Fe],RAJ2000,DEJ2000,RV,ageMLP,M.MLP,SimbadName2,_RAJ20002,_DEJ20002,recno2,Tycho2,more,Name2,Dist2,chi2,Av2,Fbol2,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad2,_RA2,_DE2
0.193554,300.182083,22.710833,10880,HD 189733,,H09,4.58,5022.0,2.7666E-8,-0.13,-0.07,20 00 43.7,+22 42 39,-3.0,2.3,0.79,HD 189733,300.1821367,22.7108539,122,2141-972-1,*,HD 189733 b,19.84,1.77,0.0,2.7E-8,175.76,0.75,2.65,0.79,1.13,1.13,1,Simbad,300.18214,22.71085
1.176774,300.752917,28.306667,10898,HD 190228,,H09,3.75,5264.0,3.6788E-8,-0.25,0.23,20 03 00.7,+28 18 24,-50.9,4.6,1.27,HD 190228,300.7532192,28.3068569,125,2153-1463-1,*,HD 190228 b,,2.13,0.0,3.6E-8,186.35,,,,,,1,Simbad,300.75322,28.30686
0.867845,54.929167,-52.915833,924,HD 23079,,H09,4.4,6040.0,3.8502E-8,-0.18,0.09,03 39 43.0,-52 54 57,0.5,1.6,1.07,HD 23079,54.9295667,-52.9158381,457,8500-534-1,*,HD 23079 b,33.17,1.57,0.0,3.9E-8,150.64,1.07,,1.12,,2.61,1,Simbad,54.92957,-52.91584
0.891917,57.00125,40.530556,936,HD 23596,,H09,4.18,6037.0,3.3121E-8,0.3,-0.09,03 48 00.3,+40 31 50,-10.2,3.8,1.25,HD 23596,57.0015581,40.5306369,167,2867-1318-1,*,HD 23596 b,52.16,2.84,0.0,3.3E-8,136.81,1.53,,1.47,,9.03,1,Simbad,57.00156,40.53064
1.341275,57.595417,17.476111,946,HD 24040,,H09,4.19,5784.0,2.7386E-8,0.2,-0.06,03 50 22.9,+17 28 34,-9.9,5.6,1.07,HD 24040,57.5956989,17.4763689,65,1252-844-1,*,HD 24040 b,45.84,2.28,0.0,2.6E-8,131.83,1.3,,1.11,,3.86,1,Simbad,57.5957,17.47637
1.028383,303.499167,-0.866667,10989,HD 192263,A,H09,4.61,4998.0,2.6124E-8,0.02,-0.12,20 13 59.8,-00 52 00,-11.3,0.2,0.79,HD 192263,303.4993567,-0.8668806,284,5161-868-1,*,HD 192263 b,19.68,1.73,0.0,2.5E-8,175.72,0.74,,0.66,,0.56,1,Simbad,303.49936,-0.86688
1.411814,303.822083,-27.032778,10992,HD 192310,,H09,4.55,5133.0,1.6279E-7,0.08,-0.12,20 15 17.3,-27 01 58,-54.8,1.5,0.84,HD 192310,303.8224633,-27.0329756,377,6914-1943-1,*,HD 192310 b,,9.61,0.0,1.5E-7,410.3,,,,,,0,Simbad,303.82246,-27.03298
0.255922,58.955833,-65.186667,1002,HD 25171,,H09,4.33,6206.0,2.0547E-8,-0.14,0.05,03 55 49.4,-65 11 12,42.8,2.6,1.14,HD 25171,58.9560014,-65.1866747,474,8874-376-1,*,HD 25171 b,56.83,1.32,0.0,2.1E-8,102.24,1.25,,1.53,,,1,Simbad,58.956,-65.18667
1.003795,66.609583,-10.550556,1137,HD 28185,,H09,4.34,5687.0,2.0739E-8,0.2,-0.06,04 26 26.3,-10 33 02,49.6,7.8,1.02,HD 28185,66.6096775,-10.5508189,299,5317-733-1,*,HD 28185 b,39.29,0.79,0.0,2.0E-8,122.42,1.03,,1.02,,5.9,1,Simbad,66.60968,-10.55082
0.550685,307.0775,18.769444,11133,HD 195019,AB,H09,,5695.0,,-0.01,0.06,20 28 18.6,+18 46 10,-91.7,9.1,1.04,HD 195019,307.0776519,18.7694961,86,1640-113-1,*,HD 195019 b,37.82,2.97,0.0,4.8E-8,181.8,1.48,,1.21,,3.98,1,Simbad,307.07765,18.7695
1.339878,309.965833,11.249444,11207,HD 196885,A,H09,4.21,6162.0,7.3208E-8,-0.06,0.01,20 39 51.8,+11 14 58,-33.2,4.1,1.17,HD 196885,309.9661481,11.2496514,54,1092-1778-1,*,HD 196885 b,,1.06,0.0,7.4E-8,188.91,,,,,,0,Simbad,309.96615,11.24965
1.196204,73.681667,12.351944,1279,HD 31253,,H09,4.16,6148.0,3.8247E-8,0.21,-0.08,04 54 43.6,+12 21 07,12.1,3.4,1.26,HD 31253,73.6818906,12.3521944,36,692-497-1,*,HD 31253 b,58.04,1.74,0.0,3.7E-8,139.87,1.75,,1.7,,0.62,1,Simbad,73.68189,12.35219
1.084521,76.982083,26.327778,1333,HD 32963,,H09,4.42,5762.0,2.5167E-8,0.09,-0.04,05 07 55.7,+26 19 40,-62.9,2.7,1.02,HD 32963,76.9823494,26.3279617,98,1853-1187-1,*,HD 32963 b,,1.54,0.0,2.5E-8,131.02,,,,,,0,Simbad,76.98235,26.32796
0.909899,77.004167,-26.797222,1350,HD 33283,,H09,4.04,6231.0,1.7395E-8,0.4,-0.12,05 08 01.0,-26 47 50,4.1,2.5,1.43,HD 33283,77.0042181,-26.7974706,358,6481-1002-1,*,HD 33283 b,88.35,1.98,0.0,1.6E-8,91.65,1.74,,1.47,,0.37,1,Simbad,77.00422,-26.79747
1.044688,77.943333,4.403333,1360,HD 33636,,H09,4.49,6000.0,4.2943E-8,-0.16,0.09,05 11 46.4,+04 24 12,5.3,0.0,1.06,HD 33636,77.9435389,4.4035381,8,107-1139-1,*,HD 33636 b,29.44,0.65,0.0,4.3E-8,159.28,1.01,,1.34,,11.09,1,Simbad,77.94354,4.40354
1.196246,79.420417,7.353333,1381,HD 34445,,H09,4.16,5909.0,3.3969E-8,0.16,-0.06,05 17 40.9,+07 21 12,-79.4,5.0,1.11,HD 34445,79.4207517,7.3533481,9,112-182-1,*,HD 34445 b,45.37,2.1,0.0,3.2E-8,141.88,1.38,,1.14,,0.82,1,Simbad,79.42075,7.35335
1.112842,48.193333,-1.195833,11380,HD 19994,AB,H09,4.08,6159.0,2.3977E-7,0.2,-0.08,03 12 46.4,-01 11 45,19.0,3.2,1.32,HD 19994,48.1934883,-1.1961003,261,4708-1423-1,*,HD 19994 b,,0.49,0.0,2.4E-7,355.43,,,,,,0,Simbad,48.19349,-1.1961
0.647566,84.258333,-73.699167,1497,HD 38283,,H09,4.15,6001.0,5.6037E-8,-0.07,0.02,05 37 02.0,-73 41 57,61.3,4.8,1.11,HD 38283,84.2584031,-73.6993458,487,9175-83-1,*,HD 38283 b,37.89,0.51,0.0,5.7E-8,182.77,1.49,,1.37,,0.4,1,Simbad,84.2584,-73.69935
0.754238,91.124583,44.260278,1569,HD 40979,,H09,4.37,6188.0,5.2841E-8,0.07,-0.04,06 04 29.9,+44 15 37,32.8,1.0,1.18,HD 40979,91.1247631,44.2604431,171,2937-1747-1,*,HD 40979 b,33.95,0.51,0.0,5.3E-8,165.91,1.21,,1.45,,4.67,1,Simbad,91.12476,44.26044
0.666198,6.084167,-56.65,11611,HD 2039,,H09,4.25,6130.0,7.4005E-9,0.37,-0.12,00 24 20.2,-56 39 00,8.4,2.8,1.25,HD 2039,6.0844914,-56.6500494,454,8468-177-1,*,HD 2039 b,86.92,1.13,0.03,6.8E-9,63.88,1.19,,1.23,,6.29,1,Simbad,6.08449,-56.65005
0.810523,93.398333,-29.897222,1620,HD 43197,,H09,4.47,5498.0,7.3038E-9,0.32,-0.08,06 13 35.6,-29 53 50,,0.0,0.98,HD 43197,93.3985883,-29.8972633,361,6517-2108-1,*,HD 43197 b,61.2,0.97,0.0,7.3E-9,78.09,1.03,,0.77,,,1,Simbad,93.39859,-29.89726
0.909139,94.894167,41.092222,1628,HD 43691,,H09,4.16,6263.0,1.7183E-8,0.28,-0.1,06 19 34.6,+41 05 32,-29.2,2.7,1.32,HD 43691,94.8944831,41.0923058,170,2930-2105-1,*,HD 43691 b,,2.22,0.0,1.6E-8,90.1,,,,,,1,Simbad,94.89448,41.09231
0.346807,95.059583,-10.725,1638,HD 44219,,H09,4.21,5895.0,2.4392E-8,0.11,-0.04,06 20 14.3,-10 43 30,-12.4,5.4,1.1,HD 44219,95.0596806,-10.7250092,303,5367-701-1,*,HD 44219 b,52.83,1.4,0.0,2.3E-8,122.8,1.39,,1.12,,,1,Simbad,95.05968,-10.72501
0.679606,97.190417,38.962778,1673,HD 45350,,H09,4.21,5585.0,1.959E-8,0.36,-0.06,06 28 45.7,+38 57 46,-21.3,10.2,1.02,HD 45350,97.1904647,38.9629631,169,2927-323-1,*,HD 45350 b,,1.53,0.0,2.0E-8,123.59,,,,,,0,Simbad,97.19046,38.96296
1.057728,96.41,-31.480833,1675,HD 45364,,H09,4.55,5496.0,1.7031E-8,-0.08,-0.02,06 25 38.4,-31 28 51,15.9,0.0,0.91,HD 45364,96.4103125,-31.4809567,387,7073-2172-1,*,HD 45364 b,,0.45,0.0,1.7E-8,119.64,,,,,,0,Simbad,96.41031,-31.48096
0.623767,98.3025,5.462778,1704,HD 46375,,H09,4.35,5271.0,2.038E-8,0.29,-0.12,06 33 12.6,+05 27 46,-1.6,13.8,0.91,HD 46375,98.3025931,5.4629244,12,154-891-1,*,HD 46375 b,,0.8,0.0,2.0E-8,140.64,,,,,,0,Simbad,98.30259,5.46292
0.942973,102.877083,40.8675,1776,HD 49674,,H09,4.4,5610.0,1.5975E-8,0.42,-0.08,06 51 30.5,+40 52 03,11.8,4.5,1.02,HD 49674,102.8771506,40.8677569,172,2946-426-1,*,HD 49674 b,42.85,0.53,0.0,1.6E-8,110.26,1.02,,1.03,,0.1,1,Simbad,102.87715,40.86776
0.302828,103.008333,-33.915556,1793,HD 50499,,H09,4.23,6040.0,3.4468E-8,0.33,-0.1,06 52 02.0,-33 54 56,36.5,3.5,1.22,HD 50499,103.0084342,-33.9155608,388,7096-565-1,*,HD 50499 b,,0.88,0.0,3.4E-8,138.97,,,,,,1,Simbad,103.00843,-33.91556
0.359488,103.678333,24.245556,1794,HD 50554,,H09,4.42,6041.0,4.8957E-8,-0.06,0.01,06 54 42.8,+24 14 44,-4.2,0.3,1.09,HD 50554,103.6784425,24.2455578,100,1894-1961-1,*,HD 50554 b,,0.75,0.0,4.9E-8,168.0,,,,,,1,Simbad,103.67844,24.24556
1.215721,50.014583,-28.853889,11829,HD 20782,A,H09,,5773.0,,-0.09,0.07,03 20 03.5,-28 51 14,39.5,7.9,0.99,HD 20782,50.0149069,-28.8540722,354,6445-136-1,*,HD 20782 b,35.85,0.51,0.0,3.1E-8,143.71,1.11,,1.07,,1.95,1,Simbad,50.01491,-28.85407
0.598716,49.981667,-43.069722,11836,HD 20794,,H09,4.49,5513.0,5.677E-7,-0.27,0.17,03 19 55.6,-43 04 11,87.2,3.9,0.91,HD 20794,49.9818789,-43.0697828,408,7567-1183-1,*,HD 20794 b,,1.99,0.0,5.6E-7,700.7,,,,,,0,Simbad,49.98188,-43.06978
0.937899,116.957083,-54.263889,2024,HD 63765,,H09,4.53,5472.0,1.6492E-8,-0.15,0.04,07 47 49.7,-54 15 50,22.1,0.0,0.91,HD 63765,116.9571658,-54.264145,462,8553-2637-1,*,HD 63765 b,32.37,0.82,0.0,1.7E-8,118.74,0.83,,0.65,,0.53,1,Simbad,116.95717,-54.26414
0.379830,118.422083,-63.647222,2052,HD 65216,,H09,4.52,5679.0,1.8063E-8,-0.18,0.07,07 53 41.3,-63 38 50,42.3,0.1,0.96,HD 65216,118.4221664,-63.6473208,478,8915-2808-1,*,HD 65216 b,35.31,1.44,0.0,1.8E-8,116.54,0.88,,0.88,,1.18,1,Simbad,118.42217,-63.64732
1.027174,121.915417,31.551111,2088,HD 67087,,H09,4.19,6343.0,1.5667E-8,0.1,-0.06,08 07 39.7,+31 33 04,0.4,2.7,1.3,HD 67087,121.9156494,31.5513164,138,2469-686-1,*,HD 67087 b,76.92,0.64,0.0,1.6E-8,85.57,1.41,,2.31,,,1,Simbad,121.91565,31.55132
0.787599,124.592083,61.460556,2125,HD 68988,,H09,4.41,5912.0,1.4084E-8,0.38,-0.12,08 18 22.1,+61 27 38,-69.7,0.0,1.14,HD 68988,124.5923875,61.4607194,232,4126-818-1,*,HD 68988 b,59.96,1.43,0.0,1.4E-8,92.03,1.19,,1.28,,1.97,1,Simbad,124.59239,61.46072
1.010429,337.75125,-49.433056,12101,HD 213240,A,H09,4.17,6084.0,5.3663E-8,0.22,-0.08,22 31 00.3,-49 25 59,-0.5,3.8,1.25,HD 213240,337.7515267,-49.4332714,452,8449-868-1,*,HD 213240 b,41.39,2.03,0.0,4.9E-8,169.93,1.51,,1.57,,5.58,1,Simbad,337.75153,-49.43327
0.640100,125.367083,-39.705278,2154,HD 70642,,H09,4.45,5714.0,3.7176E-8,0.19,-0.06,08 21 28.1,-39 42 19,48.8,0.7,1.02,HD 70642,125.3672358,-39.7054114,410,7665-696-1,*,HD 70642 b,29.19,3.4,0.0,3.6E-8,162.27,1.02,,0.96,,1.85,1,Simbad,125.36724,-39.70541
