angDist,_RAJ2000,_DEJ2000,recno,Name,m_Name,H09,logg,Teff,Fbol,[Fe/H],[a/Fe],RAJ2000,DEJ2000,RV,ageMLP,M.MLP,SimbadName2,_RAJ20002,_DEJ20002,recno2,Tycho2,more,Name2,Dist2,chi2,Av2,Fbol2,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad2,_RA2,_DE2
1.191166,187.611667,22.879722,3319,HD 108874,,H09,4.32,5573.0,8.8878E-9,0.2,-0.05,12 30 26.8,+22 52 47,-30.7,10.7,0.96,HD 108874,187.6120075,22.8798272,109,1989-2141-1,*,HD 108874 b,59.26,2.12,0.0,8.9E-9,82.2,1.05,,1.1,,1.42,1,Simbad,187.61201,22.87983
1.385567,72.15125,-5.673889,13386,HD 30562,,H09,4.11,5951.0,1.2835E-7,0.26,-0.08,04 48 36.3,-05 40 26,77.0,4.3,1.25,HD 30562,72.1516042,-5.6740436,262,4748-1630-1,*,HD 30562 b,26.35,1.37,0.0,1.3E-7,283.67,1.61,,1.12,,1.22,1,Simbad,72.1516,-5.67404
0.620367,192.215417,-68.425,3414,HD 111232,,H09,4.48,5564.0,2.5801E-8,-0.38,0.23,12 48 51.7,-68 25 30,103.8,6.6,0.89,HD 111232,192.2156383,-68.4251519,489,9241-249-1,*,HD 111232 b,28.62,0.38,0.0,2.6E-8,146.18,0.9,,0.84,,7.14,1,Simbad,192.21564,-68.42515
1.279210,198.184167,-31.873056,3528,HD 114729,,H09,4.1,5835.0,5.7367E-8,-0.33,0.22,13 12 44.2,-31 52 23,64.4,9.1,1.02,HD 114729,198.1844039,-31.8733489,396,7263-2071-1,*,HD 114729 b,37.69,2.15,0.0,5.7E-8,191.69,1.55,,1.24,,1.09,1,Simbad,198.1844,-31.87335
1.290086,198.182083,-2.265,3532,HD 114783,,H09,4.56,5108.0,2.9339E-8,0.22,-0.14,13 12 43.7,-02 15 54,-12.8,0.3,0.86,HD 114783,198.1824397,-2.2650372,277,4958-894-1,*,HD 114783 b,,3.28,0.0,2.9E-8,178.81,,,,,,0,Simbad,198.18244,-2.26504
0.169133,80.639583,79.231111,13585,HD 33564,A,H09,4.21,6379.0,2.3823E-7,0.03,-0.03,05 22 33.5,+79 13 52,-10.7,2.6,1.28,HD 33564,80.6397183,79.2311506,250,4532-2096-1,*,HD 33564 b,,0.65,0.0,2.4E-7,325.01,,,,,,0,Simbad,80.63972,79.23115
0.538723,78.295417,33.318056,13591,HD 33643,,H09,4.19,6776.0,1.0167E-8,0.23,-0.09,05 13 10.9,+33 19 05,31.4,1.4,1.45,HD 33643,78.2955375,33.3181667,134,2393-852-1,*,KELT-7 b,138.09,0.91,0.08,1.0E-8,60.95,1.81,0.42,1.76,1.6,1.39,1,Simbad,78.29554,33.31817
0.617669,202.337917,-35.570833,3608,HD 117207,,H09,4.34,5693.0,3.4348E-8,0.14,-0.01,13 29 21.1,-35 34 15,-17.9,7.9,1.01,HD 117207,202.3379744,-35.5709981,397,7272-1998-1,*,HD 117207 b,32.42,0.92,0.0,3.5E-8,158.8,1.11,,0.96,,1.73,1,Simbad,202.33797,-35.571
1.069943,203.10625,-47.271111,3621,HD 117618,,H09,4.32,5982.0,3.602E-8,0.04,-0.02,13 32 25.5,-47 16 16,0.9,4.7,1.09,HD 117618,203.1064808,-47.2713636,441,8265-2722-1,*,HD 117618 b,38.17,0.79,0.0,3.6E-8,145.78,1.2,,1.17,,0.19,1,Simbad,203.10648,-47.27136
0.711919,9.840833,21.250278,13773,HD 3651,A,H09,,5226.0,,0.16,-0.08,00 39 21.8,+21 15 01,-33.5,1.7,0.88,HD 3651,9.8408578,21.2504744,58,1193-2072-1,*,HD 3651 b,,1.55,0.0,1.3E-7,378.62,,,,,,0,Simbad,9.84086,21.25047
0.481448,221.88625,-0.281389,4007,HD 130322,,H09,4.55,5432.0,1.7459E-8,0.01,-0.01,14 47 32.7,-00 16 53,-12.6,0.0,0.93,HD 130322,221.88635,-0.2814778,280,4986-302-1,*,HD 130322 b,,0.51,0.0,1.8E-8,125.54,,,,,,0,Simbad,221.88635,-0.28148
0.871388,84.290833,-80.468889,13927,HD 39091,,H09,4.36,6000.0,1.4544E-7,0.06,-0.03,05 37 09.8,-80 28 08,10.3,3.1,1.11,HD 39091,84.2912,-80.4691233,495,9386-2614-1,*,HD 39091 b,,2.65,0.0,1.4E-7,292.33,,,,,,0,Simbad,84.2912,-80.46912
0.582156,88.5175,-60.023333,13994,HD 40307,,H09,4.62,4886.0,4.7894E-8,-0.22,-0.03,05 54 04.2,-60 01 24,30.4,1.9,0.74,HD 40307,88.5176664,-60.0234717,476,8892-1247-1,*,HD 40307 b,,3.02,0.0,4.7E-8,250.83,,,,,,0,Simbad,88.51767,-60.02347
1.241291,229.730833,-1.592222,4155,HD 136118,,H09,4.15,6136.0,4.4296E-8,0.0,-0.02,15 18 55.4,-01 35 32,-3.6,3.9,1.23,HD 136118,229.731135,-1.5923886,281,5002-997-1,*,HD 136118 b,52.02,1.1,0.0,4.5E-8,152.88,1.71,,1.84,,15.49,1,Simbad,229.73113,-1.59239
0.922942,92.66375,30.956944,14093,HD 42176,AB,H09,4.18,6327.0,8.7347E-9,0.17,-0.07,06 10 39.3,+30 57 25,-47.3,2.6,1.28,HD 42176,92.6639392,30.9571425,135,2420-899-1,*,KELT-2 A b,133.92,1.38,0.08,9.6E-9,66.91,1.93,0.3,1.54,1.35,1.7,1,Simbad,92.66394,30.95714
0.500747,11.163333,-65.649444,14141,HD 4308,,H09,4.4,5746.0,6.6568E-8,-0.25,0.18,00 44 39.2,-65 38 58,95.1,7.1,0.96,HD 4308,11.1636133,-65.6495214,471,8847-598-1,*,HD 4308 b,22.03,2.44,0.0,6.5E-8,215.79,1.02,,0.93,,0.05,1,Simbad,11.16361,-65.64952
1.077595,238.072917,-18.435833,4314,HD 141937,,H09,4.45,5891.0,3.3761E-8,0.19,-0.08,15 52 17.5,-18 26 09,-3.3,0.0,1.09,HD 141937,238.0731131,-18.4360675,339,6191-172-1,*,HD 141937 b,32.66,1.33,0.0,3.4E-8,146.12,1.03,,1.09,,9.69,1,Simbad,238.07311,-18.43607
1.150541,239.419583,-60.2,4330,HD 142415,,H09,4.46,5955.0,3.114E-8,0.1,-0.05,15 57 40.7,-60 12 00,-12.0,0.1,1.09,HD 142415,239.4199669,-60.2002564,482,9023-815-1,*,HD 142415 b,35.67,1.79,0.0,3.0E-8,135.29,1.04,,1.07,,1.67,1,Simbad,239.41997,-60.20026
0.740839,242.901667,-27.078056,4410,HD 145377,,H09,4.38,6004.0,1.527E-8,-0.01,0.0,16 11 36.4,-27 04 41,11.1,2.3,1.09,HD 145377,242.9018558,-27.0781747,370,6801-585-1,*,HD 145377 b,52.78,1.45,0.0,1.5E-8,92.96,1.05,,1.2,,6.02,1,Simbad,242.90186,-27.07817
0.649286,245.750417,-61.688611,4463,HD 147018,,H09,4.42,5503.0,1.3606E-8,0.13,-0.04,16 23 00.1,-61 41 19,-27.9,8.1,0.93,HD 147018,245.7506139,-61.6887653,483,9037-233-1,*,HD 147018 b,40.36,1.11,0.0,1.4E-8,105.59,0.92,,0.97,,,1,Simbad,245.75061,-61.68877
0.990484,247.071667,-46.3175,4500,HD 148156,,H09,4.37,6182.0,2.1767E-8,0.24,-0.09,16 28 17.2,-46 19 03,-2.0,0.0,1.21,HD 148156,247.0720194,-46.3176283,442,8312-3251-1,*,HD 148156 b,57.15,0.98,0.0,2.2E-8,105.64,1.3,,1.99,,,1,Simbad,247.07202,-46.31763
1.198308,99.03625,-27.622222,14337,HD 47186,,H09,4.32,5656.0,2.4222E-8,0.25,-0.07,06 36 08.7,-27 37 20,3.8,8.7,1.02,HD 47186,99.0366161,-27.6222967,360,6516-711-1,*,HD 47186 b,37.42,0.89,0.0,2.4E-8,133.78,1.08,,0.96,,0.07,1,Simbad,99.03662,-27.6223
0.378693,247.623333,38.347222,4532,HD 149026,,H09,4.2,6229.0,1.5063E-8,0.31,-0.1,16 30 29.6,+38 20 50,-18.1,2.6,1.3,HD 149026,247.6234106,38.3473078,183,3063-1587-1,*,HD 149026 b,76.68,1.94,0.0,1.4E-8,85.33,1.41,0.72,1.42,0.74,0.38,1,Simbad,247.62341,38.34731
0.272360,100.007083,-48.541944,14384,HD 48265,,H09,3.92,5678.0,1.6488E-8,0.38,-0.06,06 40 01.7,-48 32 31,22.5,5.5,1.22,HD 48265,100.0071958,-48.5419561,437,8108-493-1,*,HD 48265 b,89.77,1.56,0.0,1.6E-8,106.65,2.06,,1.9,,,1,Simbad,100.0072,-48.54196
0.790798,256.128333,-43.309722,4676,HD 153950,,H09,4.27,6283.0,3.2622E-8,0.11,-0.06,17 04 30.8,-43 18 35,33.0,2.2,1.24,HD 153950,256.1286281,-43.3097683,421,7881-474-1,*,HD 153950 b,48.04,3.83,0.0,2.9E-8,123.75,1.28,,1.25,,2.95,1,Simbad,256.12863,-43.30977
0.763714,255.651667,47.081667,4690,HD 154345,,H09,4.51,5488.0,5.6646E-8,-0.15,0.04,17 02 36.4,+47 04 54,-47.3,1.3,0.91,HD 154345,255.6516819,47.0818789,207,3501-1373-1,*,HD 154345 b,18.26,0.95,0.0,5.6E-8,215.91,0.85,,0.71,,0.82,1,Simbad,255.65168,47.08188
0.947892,105.075,-5.366944,14536,HD 52265,,H09,4.29,6135.0,8.0339E-8,0.23,-0.08,07 00 18.0,-05 22 01,53.2,2.6,1.21,HD 52265,105.0751492,-5.3671614,266,4822-3681-1,*,HD 52265 b,29.79,1.18,0.0,7.9E-8,205.37,1.32,,1.32,,1.16,1,Simbad,105.07515,-5.36716
0.237844,257.394167,33.355833,4720,HD 155358,,H09,4.14,5955.0,3.4288E-8,-0.64,0.27,17 09 34.6,+33 21 21,-9.1,10.7,0.92,HD 155358,257.3942406,33.3558572,148,2595-1464-1,*,HD 155358 b,44.02,0.95,0.0,3.5E-8,145.94,1.38,,1.15,,0.99,1,Simbad,257.39424,33.35586
0.929204,263.339583,5.700556,4818,HD 159243,,H09,4.43,6085.0,9.2945E-9,0.02,-0.02,17 33 21.5,+05 42 02,,0.1,1.13,HD 159243,263.3397733,5.7007314,26,426-1099-1,*,HD 159243 b,74.14,1.3,0.0,9.3E-9,70.79,1.13,,1.65,,,1,Simbad,263.33977,5.70073
1.401724,113.512917,-22.295833,14837,HD 60532,,H09,3.79,6245.0,4.3983E-7,-0.09,-0.02,07 34 03.1,-22 17 45,60.7,2.4,1.53,HD 60532,113.5132536,-22.2960667,329,5991-217-1,*,HD 60532 b,,1.37,0.0,4.4E-7,467.58,,,,,,0,Simbad,113.51325,-22.29607
0.741546,275.01625,-9.595556,5037,HD 168443,,H09,4.06,5566.0,4.7757E-8,0.09,0.09,18 20 03.9,-09 35 44,-49.1,10.5,1.04,HD 168443,275.0163772,-9.5957194,314,5681-1576-1,*,HD 168443 b,,0.89,0.0,4.8E-8,192.88,,,,,,0,Simbad,275.01638,-9.59572
1.379361,275.457083,-11.9225,5042,HD 168746,,H09,4.33,5574.0,1.8615E-8,0.0,0.05,18 21 49.7,-11 55 21,-26.1,12.3,0.94,HD 168746,275.4574281,-11.9226811,315,5685-2670-1,*,HD 168746 b,42.04,1.66,0.0,1.9E-8,121.04,1.09,,1.07,,0.27,1,Simbad,275.45743,-11.92268
1.297138,276.955833,-29.816667,5065,HD 169830,,H09,4.07,6325.0,1.1162E-7,0.23,-0.09,18 27 49.4,-29 49 00,-17.4,2.6,1.4,HD 169830,276.9561814,-29.8168631,373,6869-1277-1,*,HD 169830 b,,0.81,0.0,1.1E-7,230.56,,,,,,0,Simbad,276.95618,-29.81686
1.434594,277.295417,11.695278,5085,HD 170469,,H09,4.26,5870.0,1.4215E-8,0.31,-0.09,18 29 10.9,+11 41 43,-60.2,4.9,1.13,HD 170469,277.2957544,11.6955008,51,1031-1530-1,*,HD 170469 b,60.55,1.35,0.0,1.4E-8,94.97,1.24,,1.1,,0.66,1,Simbad,277.29575,11.6955
1.048404,278.681667,-28.072222,5110,HD 171238,,H09,4.37,5390.0,1.0208E-8,0.14,-0.05,18 34 43.6,-28 04 20,21.1,13.8,0.91,HD 171238,278.6819806,-28.0723128,372,6866-1721-1,*,HD 171238 b,,0.71,0.0,1.0E-8,94.98,,,,,,1,Simbad,278.68198,-28.07231
1.255305,120.869167,-1.1625,15097,HD 66428,,H09,4.31,5694.0,1.3541E-8,0.28,-0.07,08 03 28.6,-01 09 45,44.3,7.8,1.04,HD 66428,120.8694467,-1.1627083,267,4846-68-1,*,HD 66428 b,53.43,1.11,0.0,1.4E-8,98.3,1.13,,1.0,,2.64,1,Simbad,120.86945,-1.16271
0.782224,288.888333,-24.179167,5290,HD 179949,,H09,4.34,6205.0,8.167E-8,0.1,-0.05,19 15 33.2,-24 10 45,-24.7,1.4,1.18,HD 179949,288.8884581,-24.1793519,376,6875-3273-1,*,HD 179949 b,,2.07,0.0,8.1E-8,201.21,,,,,,0,Simbad,288.88846,-24.17935
1.219968,290.720417,-32.918889,5327,HD 181720,,H09,4.1,5775.0,2.0298E-8,-0.42,0.23,19 22 52.9,-32 55 08,-45.2,10.7,0.98,HD 181720,290.7207708,-32.9190522,400,7428-2738-1,*,HD 181720 b,58.8,2.83,0.0,2.0E-8,118.98,1.5,,1.03,,0.4,1,Simbad,290.72077,-32.91905
1.066744,124.599583,-12.631944,15243,HD 69830,,H09,4.54,5468.0,1.201E-7,0.08,-0.06,08 18 23.9,-12 37 55,29.8,0.0,0.94,HD 69830,124.5997794,-12.63217,305,5435-2991-1,*,HD 69830 b,,1.42,0.0,1.2E-7,318.2,,,,,,0,Simbad,124.59978,-12.63217
1.066749,292.102083,8.358056,5351,HD 183263,,H09,4.33,6106.0,2.0112E-8,0.34,-0.11,19 28 24.5,+08 21 29,-50.7,1.7,1.21,HD 183263,292.1023825,8.3580564,52,1055-3415-1,*,HD 183263 b,54.01,1.02,0.0,1.9E-8,106.1,1.23,,1.31,,3.95,1,Simbad,292.10238,8.35806
0.325666,296.742083,34.419444,5447,HD 187123,,H09,4.33,5904.0,2.0638E-8,0.25,-0.09,19 46 58.1,+34 25 10,-17.6,3.9,1.11,HD 187123,296.7421375,34.4195225,156,2664-550-1,*,HD 187123 b,,0.99,0.0,2.0E-8,114.86,,,,,,0,Simbad,296.74214,34.41952
0.673135,298.01875,28.100278,5469,HD 188015,,H09,4.26,5687.0,1.3905E-8,0.27,-0.08,19 52 04.5,+28 06 01,-0.4,8.3,1.04,HD 188015,298.0189308,28.1003756,123,2148-1948-1,*,HD 188015 b,,1.11,0.0,1.4E-8,98.06,,,,,,0,Simbad,298.01893,28.10038
0.485594,129.095833,-30.0375,15379,HD 73256,,H09,4.42,5454.0,1.7033E-8,0.2,-0.06,08 36 23.0,-30 02 15,29.5,9.5,0.93,HD 73256,129.0958967,-30.0376231,389,7136-2007-1,*,HD 73256 b,35.88,1.47,0.0,1.7E-8,119.99,0.93,,0.81,,1.57,1,Simbad,129.0959,-30.03762
0.841380,301.831667,-35.538611,5526,HD 190647,,H09,4.1,5661.0,2.1114E-8,0.25,-0.03,20 07 19.6,-35 32 19,-40.8,8.5,1.09,HD 190647,301.8319528,-35.5386342,401,7449-1245-1,*,HD 190647 b,53.74,0.9,0.0,2.1E-8,125.15,1.45,,1.14,,1.94,1,Simbad,301.83195,-35.53863
0.167422,309.465417,-60.634444,5649,HD 196050,,H09,4.25,6046.0,2.8225E-8,0.35,-0.11,20 37 51.7,-60 38 04,60.9,3.2,1.21,HD 196050,309.4654606,-60.6344853,485,9100-354-1,*,HD 196050 b,51.35,1.73,0.0,2.7E-8,128.89,1.42,,1.31,,3.18,1,Simbad,309.46546,-60.63449
1.023044,309.887083,42.248333,5693,HD 197037,,H09,4.37,6164.0,5.0638E-8,-0.21,0.1,20 39 32.9,+42 14 54,8.4,1.9,1.11,HD 197037,309.8873331,42.2485486,192,3161-126-1,*,HD 197037 b,33.32,0.91,0.0,5.1E-8,164.88,1.18,,1.19,,,1,Simbad,309.88733,42.24855
0.981468,138.789167,23.375278,15669,HD 79498,A,H09,4.4,5760.0,1.6674E-8,0.24,-0.08,09 15 09.4,+23 22 31,19.5,2.7,1.06,HD 79498,138.7891714,23.3755506,103,1951-1006-1,*,HD 79498 b,,1.11,0.0,1.6E-8,105.93,,,,,,0,Simbad,138.78917,23.37555
0.849690,140.65625,50.603611,15718,HD 80606,B,H09,3.51,5534.0,6.9757E-9,0.29,-0.09,09 22 37.5,+50 36 13,3.3,11.5,0.98,HD 80606,140.6565706,50.6037306,204,3431-46-1,*,HD 80606 b,65.21,1.71,0.0,7.0E-9,73.99,1.04,1.45,1.15,1.07,4.38,1,Simbad,140.65657,50.60373
0.530014,322.050833,-21.726111,5926,HD 204313,,H09,4.36,5749.0,1.6915E-8,0.19,-0.06,21 28 12.2,-21 43 34,-10.1,7.2,1.02,HD 204313,322.0508628,-21.7262556,347,6373-682-1,*,HD 204313 b,47.6,0.7,0.0,1.7E-8,107.41,1.1,,1.03,,3.46,1,Simbad,322.05086,-21.72626
0.945581,324.535,-31.737222,5975,HD 205739,,H09,4.18,6471.0,1.0781E-8,0.24,-0.09,21 38 08.4,-31 44 14,9.1,2.0,1.37,HD 205739,324.5350183,-31.7374842,403,7487-1980-1,*,HD 205739 b,93.19,1.79,0.03,1.0E-8,67.27,1.35,,1.66,,,1,Simbad,324.53502,-31.73748
1.270368,328.150833,-26.026389,6051,HD 207832,,H09,4.54,5733.0,8.3472E-9,0.13,-0.05,21 52 36.2,-26 01 35,-16.7,0.0,1.02,HD 207832,328.1511767,-26.0265597,379,6956-378-1,*,HD 207832 b,59.07,1.34,0.0,8.4E-9,75.88,0.96,,1.02,,0.6,1,Simbad,328.15118,-26.02656
0.560558,329.3325,-37.763611,6069,HD 208487,,H09,4.38,6247.0,2.799E-8,-0.02,-0.01,21 57 19.8,-37 45 49,5.3,0.1,1.18,HD 208487,329.3326964,-37.7636228,426,7982-636-1,*,HD 208487 b,,1.26,0.0,2.7E-8,118.41,,,,,,0,Simbad,329.3327,-37.76362
1.170956,330.794583,18.884167,6101,HD 209458,,H09,4.33,6108.0,2.3379E-8,-0.04,0.01,22 03 10.7,+18 53 03,-14.9,3.2,1.13,HD 209458,330.7948867,18.8843194,88,1688-1821-1,*,HD 209458 b,48.86,1.27,0.0,2.3E-8,112.92,1.19,1.04,1.23,1.39,0.73,1,Simbad,330.79489,18.88432
0.561671,147.779167,-43.502778,16004,HD 85512,,H09,4.67,4455.0,3.8827E-8,0.06,0.39,09 51 07.0,-43 30 10,-10.2,1.7,0.72,HD 85512,147.7793819,-43.5027847,414,7706-1752-1,*,HD 85512 b,11.32,4.96,0.0,3.9E-8,293.21,0.71,,0.43,,0.01,1,Simbad,147.77938,-43.50278
0.526410,336.87875,-77.717778,6191,HD 212301,,H09,4.33,6170.0,2.0591E-8,-0.01,-0.01,22 27 30.9,-77 43 04,4.8,2.8,1.14,HD 212301,336.8788272,-77.7179233,497,9479-407-1,*,HD 212301 b,53.49,2.23,0.0,2.1E-8,100.88,1.16,,1.55,,0.51,1,Simbad,336.87883,-77.71792
1.622681,154.588333,12.620833,16188,HD 89307,,H09,4.36,5942.0,4.2643E-8,-0.15,0.07,10 18 21.2,+12 37 15,22.6,5.0,1.04,HD 89307,154.5886989,12.6211081,43,843-568-1,*,HD 89307 b,32.18,1.03,0.0,4.3E-8,159.15,1.1,,1.27,,2.11,1,Simbad,154.5887,12.62111
0.772904,155.54375,41.229444,16209,HD 89744,,H09,3.94,6262.0,1.3326E-7,0.3,-0.1,10 22 10.5,+41 13 46,-5.6,2.5,1.5,HD 89744,155.5440111,41.2295308,174,3004-578-1,*,HD 89744 b,,0.76,0.0,1.3E-7,258.1,,,,,,0,Simbad,155.54401,41.22953
0.558825,343.97375,-26.658611,6340,HD 216770,,H09,4.49,5448.0,1.6393E-8,0.19,-0.1,22 55 53.7,-26 39 31,30.7,1.8,0.94,HD 216770,343.9737847,-26.6587631,381,6974-283-1,*,HD 216770 b,36.65,5.29,0.0,1.6E-8,118.09,0.93,,0.74,,0.57,1,Simbad,343.97378,-26.65876
0.655768,345.784167,-0.429444,6380,HD 217786,,H09,4.26,6076.0,2.1734E-8,-0.06,0.01,23 03 08.2,-00 25 46,9.9,4.8,1.13,HD 217786,345.78419,-0.4296247,291,5242-591-1,*,HD 217786 b,56.45,1.48,0.0,2.1E-8,109.06,1.32,,1.43,,,1,Simbad,345.78419,-0.42962
0.783029,349.694583,18.645556,6454,HD 219828,,H09,4.12,5977.0,1.7472E-8,0.28,-0.09,23 18 46.7,+18 38 44,-24.6,4.1,1.24,HD 219828,349.694725,18.6457269,90,1716-1182-1,*,HD 219828 b,71.41,1.95,0.0,1.6E-8,101.74,1.56,,1.31,,0.06,1,Simbad,349.69472,18.64573
1.072049,351.614167,8.643611,6483,HD 220773,,H09,4.05,5927.0,3.8635E-8,0.13,-0.04,23 26 27.4,+08 38 37,-38.0,4.4,1.16,HD 220773,351.6143533,8.643845,57,1162-750-1,*,HD 220773 b,49.93,0.67,0.0,3.9E-8,153.61,1.65,,1.8,,,1,Simbad,351.61435,8.64384
0.302645,352.834583,-58.209722,6506,HD 221287,,H09,4.37,6282.0,1.9864E-8,-0.14,0.05,23 31 20.3,-58 12 35,-21.6,0.9,1.16,HD 221287,352.8347414,-58.2097322,470,8838-463-1,*,HD 221287 b,,2.2,0.0,2.0E-8,96.23,,,,,,1,Simbad,352.83474,-58.20973
1.239952,164.86625,40.43,16448,HD 95128,,H09,4.29,5908.0,2.5783E-7,0.02,-0.01,10 59 27.9,+40 25 48,11.1,6.2,1.04,HD 95128,164.8665533,40.4302556,175,3009-2703-1,*,47 UMa b,,0.93,0.0,2.6E-7,402.83,,,,,,0,Simbad,164.86655,40.43026
0.492769,354.50125,48.996389,6543,HD 222155,,H09,4.01,5847.0,4.2362E-8,-0.08,0.06,23 38 00.3,+48 59 47,-44.2,6.6,1.12,HD 222155,354.5012806,48.9965244,216,3646-2286-1,*,HD 222155 b,51.15,0.93,0.0,4.0E-8,168.49,1.85,,1.21,,2.12,1,Simbad,354.50128,48.99652
0.488983,359.974167,-22.428056,6638,HD 224693,,H09,4.08,6349.0,1.5788E-8,0.4,-0.12,23 59 53.8,-22 25 41,1.5,2.2,1.43,HD 224693,359.9742992,-22.4281153,349,6411-109-1,*,HD 224693 b,,4.07,0.0,1.3E-8,84.77,,,,,,1,Simbad,359.9743,-22.42812
0.798534,24.199167,41.405278,16583,HD 9826,A,H09,4.15,6235.0,5.9308E-7,0.13,-0.06,01 36 47.8,+41 24 19,-28.9,3.4,1.3,HD 9826,24.1993422,41.4054567,162,2822-2210-1,*,upsilon And b,,1.53,0.0,6.0E-7,558.55,,,,,,0,Simbad,24.19934,41.40546
1.394840,171.6925,3.006111,16644,HD 99492,B,H09,4.56,4992.0,3.4332E-8,0.24,-0.08,11 26 46.2,+03 00 22,3.1,0.0,0.82,HD 99492,171.6928258,3.0063214,19,267-1200-1,*,HD 99492 b,18.22,4.42,0.0,3.2E-8,211.16,0.83,,0.48,,0.07,1,Simbad,171.69283,3.00632
0.870539,176.629167,-40.500278,6908,HD 102365,A,H09,,5694.0,,-0.27,0.15,11 46 31.0,-40 30 01,16.8,0.6,0.93,HD 102365,176.6294692,-40.5003533,415,7745-1381-1,*,HD 102365 b,,0.85,0.0,3.1E-7,484.08,,,,,,0,Simbad,176.62947,-40.50035
0.998951,25.622083,-53.740556,7123,HD 10647,,H09,4.41,6154.0,1.6324E-7,-0.1,0.03,01 42 29.3,-53 44 26,27.5,0.4,1.13,HD 10647,25.6221444,-53.7408311,455,8475-527-1,*,HD 10647 b,,0.59,0.0,1.6E-7,290.6,,,,,,1,Simbad,25.62214,-53.74083
0.485546,26.2325,20.083056,7142,HD 10697,,H09,3.98,5624.0,8.6142E-8,0.2,-0.03,01 44 55.8,+20 04 59,-46.6,7.6,1.13,HD 10697,26.2326036,20.0831494,61,1211-1730-1,*,HD 10697 b,,2.61,0.0,8.3E-8,250.51,,,,,,0,Simbad,26.2326,20.08315
0.856023,186.880417,-71.422778,7224,HD 108341,,H09,4.55,5160.0,5.499E-9,0.17,-0.11,12 27 31.3,-71 25 22,56.1,0.0,0.86,HD 108341,186.8808067,-71.4229808,488,9236-2866-1,*,HD 108341 b,,2.8,0.0,5.3E-9,74.5,,,,,,1,Simbad,186.88081,-71.42298
1.056804,189.317917,-40.811944,7310,HD 109749,A,H09,4.32,5809.0,1.4E-8,0.17,-0.03,12 37 16.3,-40 48 43,-13.7,6.5,1.06,HD 109749,189.3182333,-40.8121139,416,7762-1479-1,*,HD 109749 b,62.69,0.72,0.0,1.4E-8,95.01,1.28,,1.23,,0.28,1,Simbad,189.31823,-40.81211
0.828121,195.445417,63.61,7508,HD 113337,A,H09,4.2,6669.0,1.0063E-7,0.09,-0.04,13 01 46.9,+63 36 36,-16.0,1.5,1.39,HD 113337,195.4455278,63.6102247,235,4166-541-1,*,HD 113337 b,,1.14,0.0,1.0E-7,200.39,,,,,,0,Simbad,195.44553,63.61022
0.897845,198.082083,17.516944,7587,HD 114762,,H09,4.23,5930.0,3.3904E-8,-0.74,0.28,13 12 19.7,+17 31 01,49.2,13.5,0.87,HD 114762,198.0822617,17.5171261,78,1454-315-1,*,HD 114762 b,38.64,1.56,0.0,3.3E-8,144.82,1.2,,0.8,,10.69,1,Simbad,198.08226,17.51713
0.494396,28.210417,-19.506944,7601,HD 11506,,H09,4.29,6176.0,2.6783E-8,0.25,-0.09,01 52 50.5,-19 30 25,-8.1,2.4,1.24,HD 11506,28.2105592,-19.5069739,324,5858-2028-1,*,HD 11506 b,50.26,1.91,0.0,2.6E-8,114.88,1.24,,1.51,,5.54,1,Simbad,28.21056,-19.50697
0.366619,199.60125,-18.311111,7627,HD 115617,A,H09,,5628.0,,0.07,-0.03,13 18 24.3,-18 18 40,-8.2,0.1,0.98,HD 115617,199.6013094,-18.3111958,335,6116-1517-1,*,61 Vir b,,3.17,0.0,3.4E-7,514.69,,,,,,0,Simbad,199.60131,-18.3112
0.649731,202.1075,13.778611,7706,HD 117176,A,H09,,5540.0,,0.01,0.09,13 28 25.8,+13 46 43,4.6,7.6,1.11,HD 117176,202.1075358,13.7787881,46,898-1042-1,*,70 Vir b,18.28,1.47,0.0,2.7E-7,467.31,1.84,,1.14,,7.62,1,Simbad,202.10754,13.77879
1.023333,206.815417,17.456667,7840,HD 120136,AB,H09,3.83,6424.0,4.0949E-7,0.17,-0.07,13 47 15.7,+17 27 24,-16.2,1.8,1.3,HD 120136,206.8155958,17.4568944,79,1460-132-1,*,tau Boo b,,1.58,0.0,4.0E-7,414.46,,,,,,0,Simbad,206.8156,17.45689
0.361302,209.321667,-56.04,7905,HD 121504,A,H09,4.34,6083.0,2.7219E-8,0.09,-0.05,13 57 17.2,-56 02 24,19.3,2.5,1.14,HD 121504,209.3218283,-56.0400442,465,8668-674-1,*,HD 121504 b,41.25,0.88,0.0,2.6E-8,120.36,1.07,,1.62,,1.51,1,Simbad,209.32183,-56.04004
0.318946,4.0525,-79.851111,8005,HD 1237,,H09,4.53,5533.0,6.4727E-8,-0.05,-0.01,00 16 12.6,-79 51 04,-6.1,0.1,0.93,HD 1237,4.052825,-79.8511786,493,9354-780-1,*,HD 1237 b,,0.47,0.0,6.5E-8,229.36,,,,,,1,Simbad,4.05282,-79.85118
0.547105,215.222917,-17.481389,8093,HD 125612,,H09,4.46,5986.0,1.3243E-8,0.22,-0.07,14 20 53.5,-17 28 53,-18.4,0.0,1.13,HD 125612,215.2229864,-17.4815258,337,6143-1696-1,*,HD 125612 b,57.07,1.11,0.0,1.3E-8,87.39,1.07,,1.19,,3.23,1,Simbad,215.22299,-17.48153
