teff,rad,fbol_sed,fbol_bc
4821.586135240572,,2.2e-07,2.379131404420765e-07
5565.412292670626,1.04,7e-09,7.044745333717398e-09
5306.166664659078,1.11,4e-09,3.807895852225559e-09
5190.6193792526055,0.87,8.3e-10,8.141687999139215e-10
5479.235596339534,0.85,5.6e-08,5.673956506234706e-08
5810.060100197874,1.22,5.5e-10,5.173338662648175e-10
6408.353337284988,,3.7e-10,3.597967241191407e-10
6368.086840741959,2.0,1.7e-09,1.645204469276603e-09
5842.679570591721,1.12,7.8e-10,7.987979340279536e-10
5787.708965677117,1.28,2.4e-09,2.452978338910879e-09
4715.28480546386,0.77,5.9e-09,5.867613992953299e-09
5746.816514064734,1.13,9e-08,8.992446130794653e-08
6081.010549387165,1.94,7.9e-10,7.817474194214681e-10
5702.132165533967,1.85,4e-08,3.984939795731641e-08
4836.79722751728,10.76,1.5e-07,1.4281133211885903e-07
6450.609120789278,1.54,2.9e-09,2.775117559761218e-09
5043.874607445775,,1.4e-07,1.4899830336540944e-07
6353.594311912764,1.45,1.5e-09,1.506400176682472e-09
4990.341477669299,4.41,2.3e-08,2.3743297646808316e-08
5826.303000591689,2.06,1.7e-08,1.636930073567448e-08
5819.200081982032,1.34,1.2e-08,1.2070282459191584e-08
4600.958266987553,,1.5e-07,1.513944819050432e-07
4531.1465850716795,,1.7e-06,1.8032871964211334e-06
4832.092821680997,,1.3e-07,1.5185480063275846e-07
5594.199401276375,1.69,1.8e-08,1.871608052916425e-08
5928.924158606637,1.58,5.6e-10,5.061568869418578e-10
3918.3950599610903,71.23,4.5e-08,4.7992564762095837e-08
3842.742369651315,,3.7e-08,4.30695066162246e-08
6233.194103040389,1.95,2.6e-08,2.7053778370813548e-08
5934.397656782635,1.19,1.4e-08,1.4356574545742768e-08
5148.209228904333,,1.3e-06,1.3893445385722556e-06
4457.022353409858,,5.8e-07,6.522669148457633e-07
6574.630104005675,,1e-07,9.593226894207308e-08
5426.589657832095,0.95,1.7e-08,1.7196488330195152e-08
5511.6078720937285,0.89,1e-08,1.0120398007471928e-08
4417.538369179135,,4.6e-07,4.5898959926053064e-07
3771.1675985664524,54.92,2.3e-07,3.8090894452981145e-07
6092.506383043402,1.55,1.5e-08,1.52077728187967e-08
4316.900605996458,20.58,8.9e-08,9.402373434203039e-08
4066.877770230513,40.0,1.4e-07,1.518806026653115e-07
4701.422398947514,,1.2e-07,1.0315548763767977e-07
5847.590342477598,1.07,8.3e-09,8.899459894165227e-09
4212.5775487324645,29.79,4.5e-07,4.6889624424852307e-07
4032.6137620089517,,8.5e-06,8.445226270105674e-06
4852.181915845037,10.3,6.4e-08,6.329369960676704e-08
3330.304815962762,0.43,3.2e-08,3.1410878021230964e-08
5126.141014197618,0.78,4.2e-08,4.069662165662984e-08
6425.601603689571,,2.4e-07,2.4563816638600433e-07
4771.638212585443,,1.6e-07,1.891516991326518e-07
4870.678110673851,,1.4e-07,1.5212968851545375e-07
4838.853995469063,,1.7e-06,1.5413744399979906e-06
4826.8731314175675,11.02,5.5e-08,5.051292684825178e-08
5182.1709631046715,0.94,5.8e-09,5.7981823938515494e-09
6062.02466094599,0.97,2.7e-08,2.80149967056445e-08
5378.19634298518,1.09,2.8e-09,2.3440485609562917e-09
4835.902056018311,,2.3e-07,2.0872517079221376e-07
4869.701290047412,,1.9e-07,2.037408491747031e-07
5755.504424305812,1.48,5e-08,5.12568952494334e-08
6144.479735289496,,2.4e-07,2.504753402495378e-07
5900.495457164602,1.61,1.3e-07,1.327488436440613e-07
5503.444681880346,0.95,7.3e-09,7.115362453999846e-09
5924.823017175272,1.08,1.1e-09,1.1128796947719308e-09
5272.074253942581,0.83,6.1e-10,6.119223738111599e-10
6122.765379501213,1.32,7.9e-08,8.171368683225051e-08
5742.018621621982,1.13,1.4e-08,1.4100014782319557e-08
5920.767477676996,1.46,2.8e-08,2.8744055209459194e-08
6022.750784459839,1.58,8.9e-09,8.980604303556328e-09
5021.75209738466,,8.3e-08,8.596403709330903e-08
5724.818474967776,1.11,3.2e-08,3.319141068552705e-08
5277.463816330068,0.98,7.1e-09,6.984211633672835e-09
5151.502861960242,,1.8e-08,1.8301581932822515e-08
6044.594742755772,1.31,6.6e-10,6.508383433398561e-10
5524.101357631293,1.04,1.2e-08,1.1780217135834023e-08
5809.485851309209,,1.7e-08,1.730009997847359e-08
5107.553735855076,,2.9e-08,3.011168937958389e-08
6081.783889143947,1.76,1.9e-09,1.8747403978012557e-09
5572.447857725942,1.32,8.8e-09,8.949878531776555e-09
5410.4876582370725,,1.8e-08,1.7609838545122196e-08
6165.057592352897,1.71,4.5e-08,4.598341085666179e-08
5732.2997695808135,1.7,1.8e-08,1.9349772759741336e-08
5028.269779608862,4.52,3.8e-08,4.123630761214282e-08
4964.5941530976925,0.74,2.5e-08,2.6275127051830045e-08
5999.515604060074,1.42,3.7e-09,3.828370044072524e-09
4702.932192943537,0.86,4.1e-09,3.848297093792591e-09
4853.583792006702,4.92,1.6e-08,1.6935244527701957e-08
3272.8989688138154,0.53,1.2e-08,1.179971279393091e-08
5620.397447148605,1.11,8.9e-08,9.37547844262639e-08
4758.625860652895,0.85,1.3e-08,1.2415885166469883e-08
6032.973582423589,1.32,2.1e-08,2.1587882768154794e-08
5795.274489100816,1.13,2.3e-08,2.266846159626791e-08
5728.188948932868,,6.8e-08,7.10181149375529e-08
4382.488180088996,21.66,1.1e-08,1.2109797155371176e-08
5862.026732180898,0.95,1.2e-08,1.2258522803434766e-08
5307.855654180833,,7.7e-08,8.307522564056466e-08
5406.3052789088,0.89,5.8e-10,5.633760478840338e-10
5090.815355398616,,9.7e-07,9.002266578306312e-07
5625.234840259251,1.03,2e-08,2.058071360408634e-08
4864.792567110271,5.39,4.2e-08,4.295007484733264e-08
4989.597660727375,3.97,2.1e-08,2.1143076738949952e-08
5260.717992635783,2.38,1.5e-08,1.5612975505864892e-08
5816.237366365134,1.39,2.3e-08,2.415941809370412e-08
4543.88445910042,19.17,5e-09,4.881321113139262e-09
5460.778618250802,,1.2e-07,1.2158017117101e-07
5981.525408374843,,6.4e-08,6.641826602730702e-08
4824.782970760034,0.71,4.7e-09,4.681797175021147e-09
5388.010182268864,0.91,3e-09,3.0521942372499527e-09
5772.74172029999,1.85,1.5e-08,1.578422593836356e-08
5528.6457091322345,,2.6e-08,2.638491191317999e-08
6555.140965425536,1.47,3.6e-08,3.803598565850675e-08
3442.768717262513,,9.5e-09,9.881409439540093e-09
5023.285682410571,3.86,5.5e-08,5.968727502262374e-08
5577.968498370807,,4.8e-08,4.9275930659898396e-08
5585.130039592099,1.09,1.9e-08,1.894150422333628e-08
5748.706654081932,,1.1e-09,9.693051363470741e-10
5534.778413059459,1.07,6.8e-08,7.045443662048886e-08
4863.043923285564,2.97,1.6e-09,1.6087291103448833e-09
3120.9303045463876,0.38,1.8e-08,1.9297787075169026e-08
6022.713237327156,1.22,1e-09,9.92882444199375e-10
4663.319988731537,0.74,6.2e-09,6.209112139544663e-09
6315.041743173281,2.06,1.4e-08,1.4075592287261376e-08
4797.327202779008,0.75,3.4e-09,3.3511353379140114e-09
6200.553658218981,1.24,2.6e-08,2.7689077545782995e-08
5042.977433682148,5.88,2.5e-08,2.711313789754599e-08
6106.595573378256,2.46,3.2e-10,3.0687820890467035e-10
5601.171111326802,0.97,7.9e-10,7.688606038087389e-10
4780.999258178245,,8.4e-07,9.186196694678818e-07
6233.680688749777,,4.4e-07,3.752563911163008e-07
6392.634203245022,,2.8e-08,2.8742425420403234e-08
5331.918311310533,0.84,3.6e-09,3.4592141637322824e-09
6287.583566094014,,4.8e-10,4.697725217892909e-10
4961.720350877102,0.74,2.3e-08,2.443604452926741e-08
5488.812767421448,,4.1e-10,3.981781389050264e-10
5570.6543326646815,,3.4e-07,3.917613080832937e-07
5893.454445013344,1.09,5.1e-10,4.934581843163963e-10
5978.11568501583,1.07,1.3e-08,1.3438827251930793e-08
5695.757808217251,1.14,9.2e-10,9.378273155999315e-10
5879.281356223256,1.03,3.4e-08,3.4428081473395417e-08
3184.988100799183,0.54,4.1e-09,4.603376400732712e-09
6095.414994356298,1.9,6.4e-08,6.733864759186742e-08
4963.265685661581,,6e-08,6.867755156232298e-08
5192.5512402610175,0.88,4.4e-10,4.386005661773859e-10
5918.12653062827,1.79,1.9e-09,1.8954167802654536e-09
5732.67391486185,1.03,1.6e-08,1.648763614764719e-08
5071.125836335111,0.78,1.4e-08,1.3099850241495661e-08
5766.3263585752775,1.1,1.7e-08,1.7173429125607835e-08
5086.357173053082,4.55,3.2e-08,2.9225477654861545e-08
6069.795971943648,,1.3e-08,1.4434122822533113e-08
5959.292332771032,,1.3e-09,1.2692658626267177e-09
5032.601387216549,,1.5e-07,1.4945092983064748e-07
5609.453378550039,0.92,2.1e-08,2.083432781472469e-08
3902.024334219363,0.65,5.2e-09,4.983495785932729e-09
5793.03664017532,1.11,3.1e-08,3.1141925208890787e-08
5989.3166858733475,1.24,5.6e-10,5.527294261614075e-10
4991.3888785576655,4.73,2.3e-08,2.3966971695379228e-08
6266.443118253374,1.55,3.5e-10,3.309525689339837e-10
6148.5556423821035,1.74,1.6e-08,1.7394183655905166e-08
6382.904125031472,1.31,2.1e-09,2.0822718205059607e-09
5632.050771624707,1.08,2.4e-08,2.4376077799775914e-08
5474.473403801302,1.03,7.3e-09,7.460987914975083e-09
5396.7336703231595,0.97,1.1e-08,1.0759900162611532e-08
5604.912900302106,,4.8e-08,4.841478354022117e-08
5708.614057763421,0.91,2e-09,1.9540441104700958e-09
4911.171296052457,3.85,1.9e-08,1.9763933791523443e-08
5735.44740908062,0.8,5.4e-10,5.607378899695808e-10
5739.80211635106,1.22,6.8e-08,7.243203228663969e-08
5776.086617193758,1.38,1.1e-09,1.0930870895033761e-09
6557.601527273143,1.49,7.8e-10,7.815446242631967e-10
6007.36616049846,1.05,1.5e-08,1.5393537912663346e-08
4704.88786363644,0.72,4.9e-09,5.032387799820264e-09
5370.234669233372,,1e-08,9.948207752621135e-09
6277.193785960864,,1.1e-07,1.121783445878777e-07
5021.081387818184,5.09,3.3e-08,3.541352302246496e-08
4984.100664866682,3.78,2.6e-08,2.650956579746374e-08
6224.519341791857,,8.1e-08,8.710480657992036e-08
5084.888132353608,,1.5e-07,1.83206703717441e-07
6349.396345053248,1.0,4.7e-10,4.5909593201073665e-10
5751.955361383509,0.96,8.4e-09,8.562418673837884e-09
5453.5529163994825,0.73,4e-10,4.192801518837644e-10
5416.675027661592,0.93,1.6e-08,1.6457775858889316e-08
5124.624808418464,0.96,3.6e-10,3.5908523282537543e-10
6287.804602297895,2.18,1.2e-09,1.2126054523481197e-09
5828.412226075206,,1.3e-07,1.3591873539052762e-07
4790.113944497613,0.76,3.8e-09,3.748003886321627e-09
6622.187051995446,1.6,2.4e-09,2.3483578919609254e-09
5463.656340430873,,1.7e-08,1.679272667777819e-08
6028.628843991725,,3.4e-08,3.465098884478905e-08
5455.682024890002,0.93,1.7e-08,1.7542705326539455e-08
5386.073032545167,,8.1e-09,8.109030187816223e-09
5075.279539418991,,1.5e-08,1.6153059488781178e-08
6601.567952252309,1.76,6.8e-10,6.587670253310972e-10
3429.7142762919384,0.5,1.2e-08,1.1991418731380282e-08
5541.578380352269,0.83,7.6e-10,7.979465168948011e-10
4878.0597416670635,0.76,1.2e-08,1.1815381218777e-08
5840.880645622779,1.55,5.7e-08,6.024689920642442e-08
5680.690242331914,1.11,3.5e-08,3.464912675319961e-08
6336.840811357375,1.48,1.2e-09,1.151363868783005e-09
4788.206592666469,,1.1e-07,1.2306263321871803e-07
5705.974982889258,1.5,2e-08,1.9394088778962047e-08
5631.819708810267,1.45,2.1e-08,2.111119715192999e-08
6155.514869866492,1.48,2.3e-09,2.2420056077095314e-09
6155.514869866492,1.48,2.3e-09,4.701502750506506e-10
6381.14528595249,1.35,1e-08,1.0657252366657081e-08
5614.8086665344545,1.03,3.8e-09,3.554354293282911e-09
5614.8086665344545,1.03,3.8e-09,1.914082777190852e-09
5648.484799364013,1.06,1.9e-08,1.8922943843918938e-08
5751.023111837664,1.12,2.2e-08,2.1897670687346735e-08
6164.036949708329,1.27,2.2e-08,2.292931445620298e-08
5408.667634064553,,5.6e-07,4.836586101349301e-07
5582.622200822427,1.86,1.1e-09,1.0617907410305944e-09
5659.3408806933685,1.02,3.6e-08,3.676065486539143e-08
5611.880629953585,1.53,7.4e-09,7.330389221514805e-09
6110.969970499591,1.23,7.3e-08,7.696026857487294e-08
5471.511849992896,0.94,1.4e-08,1.4987137288246415e-08
4295.226885485364,0.71,3.9e-08,3.788185487158101e-08
5612.950342985831,,3.1e-07,2.4499139063047943e-07
5840.589676322704,1.28,1.4e-08,1.4557028502866439e-08
5699.593572391457,,3e-07,3.038518073611576e-07
4684.340908950297,0.74,9.5e-09,9.666362066974639e-09
5888.234418677231,,1.9e-07,1.8673233928167379e-07
5502.8573224281345,1.02,5.8e-09,5.824618338189632e-09
6139.545782883756,1.28,2.9e-08,3.122836594559639e-08
4717.740521702698,0.75,8.6e-09,9.059334530819268e-09
5560.149752252717,1.97,3.5e-08,3.623301995698421e-08
6392.822352086929,1.44,4e-09,3.888310362934268e-09
4420.217106572046,,2.3e-07,1.9900885074134874e-07
6165.326732910913,,2.7e-08,2.745722156126247e-08
4750.306783259803,0.79,1.2e-09,1.1705278788944503e-09
5498.563613021447,0.9,2.8e-10,2.8914025643088726e-10
6285.739370601799,,1.4e-07,1.3715532964338403e-07
6285.739370601799,,1.4e-07,6.613215702652198e-08
6245.219532594421,1.86,5.4e-08,5.5246339978099394e-08
6432.2535700574335,1.29,5.1e-09,5.053845877489051e-09
5189.143255394166,0.77,9.9e-08,1.0918200808625458e-07
6014.89681064527,1.22,2.3e-09,2.2871187977743828e-09
6133.089345428393,1.64,4.6e-09,4.605157014746751e-09
6196.345282811866,1.13,1.8e-07,1.792429740843463e-07
5657.667502846557,,2.3e-08,2.4672555835209266e-08
5657.667502846557,,2.3e-08,1.1647001743314665e-08
5699.790752179109,2.06,1.6e-08,1.676120802285946e-08
6001.703315291227,1.78,8.7e-10,8.470598924197383e-10
5173.245796789338,0.8,1.2e-08,1.2245258012867422e-08
5255.3737147786715,0.88,5.4e-09,5.413309051076654e-09
5970.847771256899,1.2,3.6e-08,3.6915906583210766e-08
6201.558153432752,1.3,2.2e-08,2.2434442173093856e-08
4992.548000838218,0.84,6.1e-09,5.9277405474083664e-09
5892.0535883861685,,5.8e-08,5.987325908704603e-08
3258.7377922748087,,2.4e-08,2.3216237911343994e-08
3761.8268533676846,0.69,1.1e-08,1.1028903435017245e-08
5722.313782060585,,2.3e-07,2.1660737926656198e-07
5900.183473478325,,1.3e-09,1.2934936593112448e-09
6439.792585500936,1.8,6.9e-10,6.829264404394178e-10
3414.8738608786857,,3.8e-08,3.3566836723296475e-08
5850.899010663708,1.23,2.6e-09,2.575539949584059e-09
5973.423936330044,1.51,4.9e-08,5.2597145966240626e-08
5937.888082225171,,9.9e-08,1.0237506234964091e-07
5946.400017033771,1.19,6.8e-09,6.896347054909946e-09
6140.327528632039,,1.6e-07,1.4491394919397597e-07
5651.87153898649,1.08,1.6e-09,1.5215182214790877e-09
5992.462774423677,1.07,3.9e-08,3.842526243591566e-08
3214.4476114492495,,3e-09,2.8089162718203602e-09
4892.219351568035,,6.3e-09,6.13712971700381e-09
4767.853585488224,,5.6e-07,7.717383118701541e-07
5556.6905369627975,1.13,1.2e-08,1.2199485915009417e-08
5484.323378058614,0.83,1.7e-08,1.6976578588405947e-08
5093.894168543198,0.86,1.6e-08,1.6094761227646586e-08
5679.887282455239,1.23,2.9e-08,2.926275316054413e-08
6057.75345617428,1.07,2.6e-08,2.6947054161919805e-08
