angDist,_RAJ2000,_DEJ2000,recno,Tycho,more,Name,Dist,chi2,Av,Fbol,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.045495,130.6046756,4.5780964,17,219-1438-1,*,HD 74156 b,,1.16,0.0,2.4E-8,115.71,,,,,,0,Simbad,130.60468,4.5781,08422511+0434411,130.604663,+4.578095,0.080,0.080,90,6.560,6.276,6.209,0.021,0.031,0.021,AAA,111,0,2451615.5750
0.052880,164.6989011,1.7292156,18,255-946-1,*,HD 95089 b,,5.46,0.03,2.3E-8,169.98,,,,,,0,Simbad,164.6989,1.72922,10584773+0143452,164.698904,+1.729230,0.130,0.060,90,6.240,5.775,5.626,0.018,0.042,0.018,AAA,111,0,2451579.8654
0.190811,171.6928258,3.0063214,19,267-1200-1,*,HD 99492 b,18.22,4.42,0.0,3.2E-8,211.16,0.83,,0.48,,0.07,1,Simbad,171.69283,3.00632,11264627+0300229,171.692810,+3.006372,0.070,0.060,0,5.852,5.403,5.256,0.018,0.031,0.017,AAA,111,0,2451590.8019
0.095397,176.42622,2.8214789,20,275-157-1,*,HD 102195 b,29.4,1.47,0.0,1.8E-8,130.44,0.82,,0.76,,0.41,1,Simbad,176.42622,2.82148,11454228+0249174,176.426207,+2.821502,0.090,0.070,0,6.629,6.268,6.151,0.024,0.026,0.018,AAA,111,0,2451611.7838
0.088665,176.6943542,3.4742936,21,275-243-1,*,HD 102329 b,229.31,1.12,0.07,2.7E-8,199.23,9.82,,3.21,,8.16,1,Simbad,176.69435,3.47429,11464664+0328273,176.694353,+3.474269,0.080,0.060,90,6.049,5.526,5.402,0.020,0.027,0.018,AAA,111,0,2451584.8640
0.119426,213.1563864,4.06003,22,320-1027-1,*,HAT-P-26 b,145.45,1.88,0.0,6.9E-10,27.96,0.87,2.37,1.12,0.63,0.07,1,Simbad,213.15639,4.06003,14123753+0403359,213.156383,+4.059997,0.100,0.080,89,10.080,9.685,9.581,0.022,0.023,0.023,AAA,222,0,2451631.8291
0.097365,227.2155644,2.3433203,23,339-329-1,*,WASP-24 b,337.78,0.63,0.08,6.9E-10,19.49,1.42,0.71,1.43,1.38,1.24,1,Simbad,227.21556,2.34332,15085174+0220358,227.215586,+2.343304,0.130,0.060,0,10.457,10.219,10.148,0.022,0.026,0.023,AAA,222,0,2451646.7982
0.210607,237.5731097,2.19651,24,356-1276-1,*,omega Ser b,,2.6,0.0,2.7E-7,636.45,,,,,,0,Simbad,237.57311,2.19651,15501756+0211473,237.573167,+2.196498,0.300,0.290,90,3.622,3.026,2.929,0.294,0.220,0.224,DDD,333,0,2451663.7357
0.054015,248.2127106,2.0848275,25,386-86-1,*,HD 149143 b,74.33,2.79,0.0,1.8E-8,101.96,1.63,,1.73,,1.69,1,Simbad,248.21271,2.08483,16325104+0205053,248.212696,+2.084831,0.070,0.060,0,6.759,6.535,6.434,0.020,0.038,0.026,AAA,111,0,2451672.7394
0.208909,263.3397733,5.7007314,26,426-1099-1,*,HD 159243 b,74.14,1.3,0.0,9.3E-9,70.79,1.13,,1.65,,,1,Simbad,263.33977,5.70073,17332154+0542028,263.339790,+5.700787,0.070,0.060,0,7.581,7.351,7.297,0.018,0.024,0.021,AAA,111,0,2451691.8933
0.131632,270.380115,0.1045564,27,430-2613-1,*,HD 164509 b,53.86,4.25,0.0,1.5E-8,93.12,1.08,,1.14,,,1,Simbad,270.38011,0.10456,18013121+0006163,270.380079,+0.104550,0.060,0.060,90,6.938,6.665,6.586,0.030,0.061,0.021,AAA,111,0,2451729.6703
0.158699,283.9203508,4.2653233,28,457-495-1,*,HD 175541 b,136.02,2.46,0.0,2.0E-8,152.91,4.47,,2.12,,0.72,1,Simbad,283.92035,4.26532,18554089+0415551,283.920395,+4.265324,0.060,0.060,90,6.387,5.952,5.829,0.026,0.029,0.021,AAA,111,0,2451400.5959
0.100943,278.064555,6.9457467,29,458-1450-1,*,HD 171028 b,112.87,1.33,0.04,1.4E-8,101.61,2.47,,1.53,,2.62,1,Simbad,278.06455,6.94575,18321548+0656446,278.064527,+6.945743,0.070,0.060,0,6.990,6.663,6.604,0.027,0.036,0.027,AAA,111,0,2451382.6804
0.056272,297.3226594,4.6724342,30,488-2442-1,*,HAT-P-41 b,402.98,0.78,0.13,1.2E-9,23.61,2.05,0.42,2.56,2.05,1.19,1,Simbad,297.32266,4.67243,19491743+0440207,297.322651,+4.672421,0.060,0.060,0,10.006,9.777,9.728,0.027,0.032,0.029,AEA,222,0,2451763.5780
0.064513,304.0250167,4.5807936,31,504-2358-1,*,HD 192699 b,69.56,1.66,0.0,7.9E-8,288.29,4.31,,1.61,,2.32,1,Simbad,304.02502,4.58079,20160600+0434509,304.025021,+4.580811,0.110,0.110,0,4.903,4.360,4.366,0.262,0.260,0.026,DDA,331,0,2451763.6234
0.264463,316.6660094,3.8031186,32,534-2537-1,*,HD 200964 b,71.67,5.9,0.0,8.2E-8,304.65,4.69,,1.97,,2.27,1,Simbad,316.66601,3.80312,21063983+0348110,316.665965,+3.803060,0.080,0.080,0,4.802,4.459,4.286,0.021,0.036,0.015,AEE,111,0,2451807.6990
0.251047,353.9553542,0.4455122,33,585-774-1,*,HIP 116454 b,61.63,3.02,0.0,2.7E-9,54.7,0.72,3.0,0.81,0.22,0.04,1,Simbad,353.95535,0.44551,23354927+0026436,353.955319,+0.445452,0.120,0.060,0,8.604,8.140,8.029,0.021,0.033,0.021,AAA,111,0,2451783.8157
0.393477,4.8211086,14.0547539,34,601-636-1,*,HD 1502 b,,3.65,0.05,1.5E-8,133.22,,,,,,0,Simbad,4.82111,14.05475,00191704+1403172,4.821009,+14.054805,0.100,0.060,0,6.681,6.234,6.120,0.018,0.017,0.026,AAA,111,0,2451083.7364
0.096590,11.4181569,7.8450208,35,604-1102-1,*,HD 4313 b,132.29,1.47,0.06,2.5E-8,172.57,4.91,,2.47,,2.99,1,Simbad,11.41816,7.84502,00454035+0750421,11.418137,+7.845039,0.070,0.060,90,6.159,5.774,5.595,0.023,0.044,0.021,AAA,111,0,2451811.7714
0.099723,73.6818906,12.3521944,36,692-497-1,*,HD 31253 b,58.04,1.74,0.0,3.7E-8,139.87,1.75,,1.7,,0.62,1,Simbad,73.68189,12.35219,04544364+1221079,73.681864,+12.352204,0.070,0.060,0,6.060,5.839,5.792,0.023,0.021,0.017,AAA,111,0,2450731.9935
0.130285,97.3049664,10.9338911,37,736-601-1,*,HD 45652 b,34.75,0.73,0.0,1.7E-8,129.16,0.96,,0.54,,0.35,1,Simbad,97.30497,10.93389,06291319+1056018,97.304969,+10.933855,0.080,0.070,0,6.703,6.316,6.263,0.021,0.023,0.023,AAA,111,0,2451472.8576
0.119219,108.8250619,14.2626319,38,774-1441-1,*,HAT-P-24 b,402.83,0.57,0.05,5.5E-10,15.89,1.38,0.74,1.37,1.3,0.75,1,Simbad,108.82506,14.26263,07151801+1415453,108.825058,+14.262599,0.070,0.060,0,10.797,10.589,10.543,0.022,0.024,0.020,AAA,222,0,2450749.9487
4.960146,108.8250619,14.2626319,38,774-1441-1,*,HAT-P-24 b,402.83,0.57,0.05,5.5E-10,15.89,1.38,0.74,1.37,1.3,0.75,1,Simbad,108.82506,14.26263,07151806+1415405,108.825284,+14.261271,0.140,0.120,13,12.188,14.600,12.028,,0.102,,UAU,020,0,2450749.9487
0.252154,124.1288375,9.1855439,39,794-1622-1,*,bet Cnc b,,2.18,0.0,2.0E-6,2309.84,,,,,,0,Simbad,124.12884,9.18554,08163090+0911080,124.128768,+9.185558,0.290,0.290,90,1.191,0.267,0.190,0.250,0.160,0.202,DCC,333,0,2451585.7680
0.067335,129.8158467,12.9603739,40,805-24-1,*,HD 73534 b,85.79,3.05,0.0,1.6E-8,142.44,2.63,,1.4,,1.2,1,Simbad,129.81585,12.96037,08391580+1257373,129.815864,+12.960382,0.080,0.060,90,6.524,6.072,5.962,0.018,0.020,0.026,AAA,111,0,2450761.0147
0.048992,132.4867508,11.6924942,41,813-2344-1,*,M 67 SAND 364 b,1693.67,3.58,0.0,5.3E-9,108.75,39.59,,9.06,,6.69,1,Simbad,132.48675,11.69249,08495682+1141329,132.486760,+11.692484,0.100,0.070,0,7.542,6.915,6.693,0.027,0.018,9.995,AAF,111,0,2450768.9358
