angDist,_RAJ2000,_DEJ2000,recno,Tycho,more,Name,Dist,chi2,Av,Fbol,Theta*,R*,rho*,M*,Rp,Mp,GaiaDR1,Simbad,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.103096,303.1953544,18.1048419,84,1622-1261-1,*,HAT-P-34 b,282.37,0.74,0.01,1.9E-9,28.54,1.73,1.15,4.26,1.35,7.01,1,Simbad,303.19535,18.10484,20124688+1806175,303.195342,+18.104868,0.060,0.060,90,9.460,9.322,9.247,0.022,0.030,0.023,AAA,222,0,2451689.8521
0.065096,306.1238558,16.76217,85,1632-1396-1,*,HAT-P-23 b,303.83,1.34,0.01,3.5E-10,14.7,0.96,0.92,0.58,1.09,1.34,1,Simbad,306.12386,16.76217,20242972+1645437,306.123854,+16.762152,0.070,0.060,0,11.103,10.846,10.791,0.022,0.022,0.020,AAA,222,0,2450709.6291
0.443881,307.0776519,18.7694961,86,1640-113-1,*,HD 195019 b,37.82,2.97,0.0,4.8E-8,181.8,1.48,,1.21,,3.98,1,Simbad,307.07765,18.7695,20281860+1846103,307.077527,+18.769531,0.070,0.060,90,5.604,5.325,5.256,0.018,0.020,0.016,AAA,111,0,2451003.9266
0.019337,332.9638786,16.0405528,87,1681-1751-1,*,HD 210702 b,,2.06,0.0,1.3E-7,413.71,,,,,,0,Simbad,332.96388,16.04055,22115133+1602260,332.963880,+16.040558,0.290,0.290,90,4.508,3.995,3.984,0.320,0.226,0.294,DDD,333,0,2451483.6811
0.170207,330.7948867,18.8843194,88,1688-1821-1,*,HD 209458 b,48.86,1.27,0.0,2.3E-8,112.92,1.19,1.04,1.23,1.39,0.73,1,Simbad,330.79489,18.88432,22031077+1853036,330.794914,+18.884359,0.060,0.060,90,6.591,6.366,6.308,0.020,0.038,0.026,AAA,111,0,2451824.5889
0.163742,329.0999361,21.23986,89,1691-1788-1,*,HD 208527 b,,5.51,0.13,1.6E-7,678.05,,,,,,0,Simbad,329.09994,21.23986,21562398+2114233,329.099929,+21.239815,0.290,0.290,90,3.328,2.537,2.224,0.214,0.170,0.244,CCD,333,0,2451487.7007
0.075933,349.694725,18.6457269,90,1716-1182-1,*,HD 219828 b,71.41,1.95,0.0,1.6E-8,101.74,1.56,,1.31,,0.06,1,Simbad,349.69472,18.64573,23184673+1838445,349.694728,+18.645706,0.070,0.060,0,6.871,6.614,6.530,0.021,0.024,0.018,AAA,111,0,2450732.6416
0.291797,344.3665836,20.7688308,91,1717-2193-1,*,51 Peg b,,0.85,0.0,1.8E-7,349.06,,,,,,0,Simbad,344.36658,20.76883,22572795+2046077,344.366498,+20.768818,0.110,0.110,90,4.655,4.234,3.911,0.296,0.270,0.021,DDA,331,0,2451099.7776
0.765189,21.3021494,28.5666958,92,1754-192-1,*,HD 8574 b,44.35,0.92,0.0,3.8E-8,145.04,1.38,,1.34,,2.03,1,Simbad,21.30215,28.5667,01251246+2834005,21.301953,+28.566820,0.080,0.070,90,6.048,5.824,5.784,0.021,0.018,0.023,AAA,111,0,2450753.6755
0.385348,23.3341067,29.2651494,93,1755-1637-1,*,HD 9446 b,,0.68,0.0,1.3E-8,90.38,,,,,,0,Simbad,23.33411,29.26515,01332015+2915545,23.333984,+29.265150,0.060,0.060,90,7.207,6.893,6.851,0.030,0.024,0.023,AAA,111,0,2450753.7669
0.235465,31.7933572,23.4624175,94,1758-2416-1,*,alpha Ari b,,4.51,0.0,5.8E-6,3183.93,,,,,,0,Simbad,31.79336,23.46242,02071038+2327447,31.793286,+23.462421,0.290,0.290,0,-0.196,-0.749,-0.783,0.218,0.156,0.176,DCC,333,0,2450740.8047
0.143542,31.1428664,25.4143097,95,1761-192-1,*,HD 12661 b,37.94,0.6,0.0,3.0E-8,147.52,1.2,,1.2,,2.43,1,Simbad,31.14287,25.41431,02043429+2524516,31.142882,+25.414347,0.080,0.070,0,6.182,5.896,5.861,0.019,0.021,0.024,AAA,111,0,2451089.8086
0.202886,39.2405767,24.6480636,96,1771-1397-1,*,30 Ari B b,46.68,1.31,0.0,4.2E-8,140.73,1.41,,1.93,,13.82,1,Simbad,39.24058,24.64806,02365772+2438530,39.240515,+24.648058,0.070,0.060,0,6.080,5.908,5.822,0.020,0.029,0.021,AAA,111,0,2450762.7591
0.005212,62.6702917,24.4017167,97,1818-1428-1,*,K2-29 b,,0.4,0.12,5.0E-10,21.34,,,,,,0,Simbad,62.67029,24.40172,04104086+2424061,62.670291,+24.401718,0.070,0.060,0,10.622,10.168,10.062,0.035,0.041,0.034,AEE,222,0,2450780.7476
4.298308,62.6702917,24.4017167,97,1818-1428-1,*,K2-29 b,,0.4,0.12,5.0E-10,21.34,,,,,,0,Simbad,62.67029,24.40172,04104104+2424097,62.671037,+24.402699,0.070,0.060,5,11.738,11.070,10.920,0.028,0.029,0.025,AAA,222,0,2450780.7476
0.216512,76.9823494,26.3279617,98,1853-1187-1,*,HD 32963 b,,1.54,0.0,2.5E-8,131.02,,,,,,0,Simbad,76.98235,26.32796,05075576+2619408,76.982373,+26.328018,0.060,0.060,90,6.420,6.098,6.024,0.023,0.018,0.016,AAA,111,0,2450786.7793
0.040420,97.6366431,29.6723019,99,1891-1178-1,*,WASP-12 b,388.04,0.18,0.29,7.7E-10,19.1,1.59,0.42,1.2,1.82,1.31,1,Simbad,97.63664,29.6723,06303279+2940202,97.636640,+29.672291,0.060,0.060,0,10.477,10.228,10.188,0.021,0.022,0.020,AAA,222,0,2450828.7852
0.222496,103.6784425,24.2455578,100,1894-1961-1,*,HD 50554 b,,0.75,0.0,4.9E-8,168.0,,,,,,1,Simbad,103.67844,24.24556,06544283+2414441,103.678477,+24.245611,0.060,0.060,90,5.776,5.516,5.467,0.020,0.026,0.018,AAA,111,0,2450800.9338
0.063932,100.8480525,27.2522803,101,1901-976-1,*,HAT-P-56 b,319.49,0.44,0.0,1.1E-9,21.41,1.47,0.63,1.42,1.51,2.31,1,Simbad,100.84805,27.25228,06432353+2715082,100.848071,+27.252287,0.070,0.060,0,10.068,9.881,9.830,0.021,0.017,0.016,AAA,222,0,2451092.9911
0.222604,133.1492122,28.3308197,102,1949-2012-1,*,55 Cnc b,,0.61,0.0,1.2E-7,350.24,,,,,,0,Simbad,133.14921,28.33082,08523579+2819509,133.149142,+28.330822,0.160,0.160,90,4.768,4.265,4.015,0.244,0.234,0.036,DDE,331,0,2451622.6743
0.452017,138.7891714,23.3755506,103,1951-1006-1,*,HD 79498 b,,1.11,0.0,1.6E-8,105.93,,,,,,0,Simbad,138.78917,23.37555,09150941+2322323,138.789249,+23.375654,0.060,0.060,0,6.851,6.574,6.530,0.019,0.026,0.017,AAA,111,0,2450825.8539
0.517966,148.1909022,26.0069533,104,1964-1473-1,*,mu Leo b,,3.97,0.0,1.1E-6,1407.71,,,,,,0,Simbad,148.1909,26.00695,09524585+2600248,148.191053,+26.006905,0.300,0.300,90,1.974,1.327,1.364,0.238,0.174,0.224,DCD,333,0,2450942.6614
0.104669,157.0625458,25.5731944,105,1973-954-1,*,KELT-4 A b,,1.68,0.0,2.7E-9,37.14,,,,,,1,Simbad,157.06255,25.57319,10281500+2534236,157.062540,+25.573223,0.070,0.060,0,9.017,8.790,8.689,0.021,0.023,0.020,AAA,222,0,2450873.7564
0.015333,168.6381719,25.7103861,106,1981-1168-1,*,HD 97658 b,21.53,2.49,0.0,2.5E-8,160.74,0.74,3.06,0.89,0.21,0.03,1,Simbad,168.63817,25.71039,11143316+2542374,168.638170,+25.710390,0.070,0.060,0,6.203,5.821,5.734,0.023,0.017,0.018,AAA,111,0,2450942.7532
2.309703,175.5462217,26.7065703,107,1984-2613-1,*,GJ 436 b,,3.57,0.0,7.6E-9,204.88,,,,,,0,Simbad,175.54622,26.70657,11421096+2642251,175.545669,+26.706980,0.070,0.060,0,6.900,6.319,6.073,0.024,0.023,0.016,AAA,111,0,2450874.9235
0.254158,183.36621,23.0556831,108,1986-1561-1,*,WASP-56 b,259.04,2.27,0.0,3.9E-10,17.22,0.96,1.14,0.71,0.94,0.45,1,Simbad,183.36621,23.05568,12132790+2303205,183.366285,+23.055698,0.160,0.090,0,10.874,10.603,10.532,0.021,0.022,0.019,AAA,222,0,2450608.6670
0.108659,187.6120075,22.8798272,109,1989-2141-1,*,HD 108874 b,59.26,2.12,0.0,8.9E-9,82.2,1.05,,1.1,,1.42,1,Simbad,187.61201,22.87983,12302687+2252473,187.611975,+22.879831,0.190,0.090,90,7.479,7.110,7.060,0.020,0.029,0.024,AAA,111,0,2451518.0478
0.204838,200.1647583,24.6486972,110,1994-2335-1,*,HD 116029 b,122.38,1.06,0.03,2.5E-8,186.04,4.89,,0.83,,1.4,1,Simbad,200.16476,24.6487,13203954+2438555,200.164762,+24.648754,0.130,0.070,90,6.144,5.650,5.534,0.037,0.016,0.016,AAA,111,0,2450616.6768
0.304931,230.0356617,29.6162081,111,2031-1389-1,*,omicron CrB b,,1.47,0.0,2.1E-7,556.83,,,,,,0,Simbad,230.03566,29.61621,15200853+2936584,230.035566,+29.616224,0.290,0.290,90,3.651,3.169,2.934,0.336,0.280,0.322,DDD,333,0,2451572.0447
0.393129,239.3968811,26.8778789,112,2037-1826-1,*,epsilon CrB b,,3.81,0.0,9.1E-7,1393.77,,,,,,0,Simbad,239.39688,26.87788,15573523+2652400,239.396810,+26.877790,0.290,0.290,0,2.104,1.488,1.349,0.260,0.160,0.188,DCC,333,0,2451619.8901
0.246287,242.5163094,26.7427481,113,2038-1873-1,*,HD 145457 b,140.73,1.44,0.04,8.3E-8,347.71,10.52,,1.23,,2.23,1,Simbad,242.51631,26.74275,16100392+2644336,242.516339,+26.742685,0.140,0.120,0,5.000,4.418,4.122,0.228,0.200,0.042,DCE,331,0,2451335.7771
0.097039,240.5493625,28.1695614,114,2041-1657-1,*,XO-1 b,155.22,0.77,0.0,1.0E-9,26.48,0.88,1.79,0.88,1.14,0.83,1,Simbad,240.54936,28.16956,16021184+2810105,240.549350,+28.169586,0.070,0.060,90,9.939,9.601,9.527,0.022,0.017,0.015,AAA,222,0,2451335.6894
0.254882,254.5368733,25.7441592,115,2063-479-1,*,GJ 649 b,10.38,2.99,0.0,1.3E-8,225.46,0.5,,0.29,,,1,Simbad,254.53687,25.74416,16580884+2544392,254.536873,+25.744230,0.060,0.060,90,6.448,5.865,5.624,0.021,0.020,0.016,AAA,111,0,2451337.7368
0.241224,259.4187106,29.2272289,116,2073-136-1,*,HD 156668 b,,4.17,0.0,1.5E-8,143.79,,,,,,0,Simbad,259.41871,29.22723,17174049+2913378,259.418740,+29.227167,0.060,0.060,90,6.593,6.117,6.004,0.026,0.024,0.020,AAA,111,0,2451334.8972
0.123550,261.4392917,27.3033353,117,2082-1290-1,*,HD 158038 b,96.13,1.31,0.04,3.5E-8,217.8,4.5,,1.3,,1.53,1,Simbad,261.43929,27.30334,17254543+2718118,261.439293,+27.303301,0.060,0.060,0,5.758,5.258,5.156,0.018,0.044,0.027,AAA,111,0,2451628.9350
0.014356,271.5377075,26.4266653,118,2099-908-1,*,HAT-P-31 b,325.05,0.45,0.01,7.1E-10,19.88,1.39,0.69,1.31,1.09,2.27,1,Simbad,271.53771,26.42667,18060904+2625359,271.537705,+26.426662,0.080,0.060,90,10.423,10.128,10.083,0.023,0.027,0.021,AAA,222,0,2451621.9944
0.335733,270.6285933,26.3130014,119,2099-2717-1,*,HD 164922 b,22.04,1.84,0.0,4.6E-8,203.78,0.97,,0.76,,0.31,1,Simbad,270.62859,26.313,18023085+2618471,270.628545,+26.313084,0.060,0.060,90,5.553,5.203,5.113,0.026,0.017,0.020,AAA,111,0,2451273.9956
0.025151,283.3055175,24.1273814,120,2109-49-1,*,KELT-8 b,207.99,2.85,0.12,1.6E-9,32.6,1.46,0.37,0.81,1.62,0.66,1,Simbad,283.30552,24.12738,18531332+2407385,283.305510,+24.127380,0.060,0.060,0,9.586,9.269,9.177,0.026,0.032,0.021,AAA,222,0,2451640.9894
0.068029,286.336555,25.9206589,121,2126-1196-1,*,HD 177830 b,62.74,5.95,0.0,4.5E-8,241.51,3.26,,1.7,,1.69,1,Simbad,286.33655,25.92066,19052077+2555144,286.336544,+25.920675,0.060,0.060,0,5.367,4.954,4.809,0.018,0.044,0.027,AAA,111,0,2451669.9202
0.080664,300.1821367,22.7108539,122,2141-972-1,*,HD 189733 b,19.84,1.77,0.0,2.7E-8,175.76,0.75,2.65,0.79,1.13,1.13,1,Simbad,300.18214,22.71085,20004370+2242391,300.182124,+22.710873,0.060,0.060,90,6.073,5.587,5.541,0.032,0.031,0.021,AAA,111,0,2451486.6150
0.249041,298.0189308,28.1003756,123,2148-1948-1,*,HD 188015 b,,1.11,0.0,1.4E-8,98.06,,,,,,0,Simbad,298.01893,28.10038,19520455+2806015,298.018982,+28.100428,0.060,0.060,0,7.008,6.716,6.632,0.035,0.020,0.018,AAA,111,0,2450917.9740
0.262565,294.2989217,28.4998631,124,2150-5013-1,*,HD 185269 b,52.36,1.71,0.0,5.6E-8,177.87,2.0,,1.57,,1.09,1,Simbad,294.29892,28.49986,19371174+2829597,294.298952,+28.499931,0.060,0.060,90,5.518,5.400,5.260,0.027,0.069,0.018,AAA,111,0,2450714.6230
0.212179,300.7532192,28.3068569,125,2153-1463-1,*,HD 190228 b,,2.13,0.0,3.6E-8,186.35,,,,,,1,Simbad,300.75322,28.30686,20030076+2818245,300.753167,+28.306820,0.060,0.060,90,5.819,5.441,5.352,0.018,0.020,0.016,AAA,111,0,2451089.6737
1.290386,300.9058556,29.8968025,126,2153-2883-1,*,HD 190360 b,16.03,2.16,0.0,1.4E-7,330.73,1.14,,0.99,,1.54,1,Simbad,300.90586,29.8968,20033732+2953493,300.905538,+29.897032,0.120,0.120,0,4.554,4.239,4.076,0.226,0.252,0.027,DDE,331,0,2450944.9724
0.098061,305.4413717,26.6926672,127,2163-549-1,*,HAT-P-49 b,366.44,1.3,0.05,2.0E-9,26.22,2.06,0.36,2.22,1.59,2.2,1,Simbad,305.44137,26.69267,20214593+2641335,305.441397,+26.692652,0.060,0.060,0,9.550,9.399,9.346,0.020,0.021,0.017,AAA,222,0,2451091.6248
0.111217,5.1313292,30.9748064,128,2261-371-1,*,HD 1605 b,89.71,2.61,0.0,3.5E-8,224.7,4.33,,1.72,,1.16,1,Simbad,5.13133,30.97481,00203151+3058293,5.131294,+30.974813,0.070,0.060,0,5.850,5.375,5.272,0.027,0.033,0.020,AAA,111,0,2450781.5795
0.176283,5.1669875,31.9899417,129,2265-107-1,*,WASP-1 b,,1.98,0.08,6.2E-10,18.22,,,,,,0,Simbad,5.16699,31.98994,00204007+3159239,5.166978,+31.989990,0.060,0.060,90,10.586,10.364,10.276,0.019,0.016,0.018,AAA,222,0,2450781.5803
0.065882,14.5592483,33.9508853,130,2285-553-1,*,HD 5608 b,58.36,3.71,0.0,1.3E-7,405.85,5.09,,1.98,,1.65,1,Simbad,14.55925,33.95089,00581422+3357031,14.559270,+33.950882,0.290,0.290,0,4.478,3.880,3.826,0.256,0.244,0.372,DDD,333,0,2450783.7088
0.196167,32.417385,32.3164336,131,2313-437-1,*,HD 13189 b,476.86,5.86,0.29,5.7E-8,374.71,38.41,,2.24,,10.95,1,Simbad,32.41738,32.31643,02094015+3218591,32.417322,+32.316422,0.110,0.110,90,5.190,4.323,3.997,0.288,0.240,0.026,DDA,331,0,2450797.6867
0.135507,47.36893,30.6735703,132,2340-1714-1,*,WASP-11 b,133.48,0.79,0.03,6.9E-10,31.12,0.89,2.8,1.42,1.11,0.79,1,Simbad,47.36893,30.67357,03092855+3040249,47.368964,+30.673594,0.090,0.060,0,10.015,9.560,9.421,0.020,0.019,0.017,AAA,222,0,2450825.7399
0.157548,55.2063556,31.82629,133,2355-246-1,*,HD 22781 b,,2.03,0.0,1.0E-8,108.86,,,,,,1,Simbad,55.20636,31.82629,03404953+3149345,55.206402,+31.826271,0.080,0.060,0,7.149,6.686,6.607,0.018,0.020,0.021,AAA,111,0,2451091.8665
0.026878,78.2955375,33.3181667,134,2393-852-1,*,KELT-7 b,138.09,0.91,0.08,1.0E-8,60.95,1.81,0.42,1.76,1.6,1.39,1,Simbad,78.29554,33.31817,05131092+3319054,78.295529,+33.318169,0.070,0.060,0,7.739,7.580,7.543,0.021,0.042,0.026,AAA,111,0,2451509.8436
0.175454,92.6639392,30.9571425,135,2420-899-1,*,KELT-2 A b,133.92,1.38,0.08,9.6E-9,66.91,1.93,0.3,1.54,1.35,1.7,1,Simbad,92.66394,30.95714,06103935+3057258,92.663969,+30.957184,0.060,0.060,90,7.669,7.417,7.346,0.021,0.026,0.031,AAA,111,0,2450856.6627
0.120447,113.1842442,33.8350319,136,2461-988-1,*,HAT-P-33 b,417.21,0.57,0.0,9.2E-10,19.99,1.79,0.45,1.82,1.85,0.92,1,Simbad,113.18424,33.83503,07324421+3350061,113.184212,+33.835052,0.070,0.070,0,10.263,10.061,10.004,0.021,0.024,0.018,AAA,222,0,2451142.8945
0.422075,110.1686625,37.1406028,137,2463-281-1,*,HAT-P-9 b,,1.02,0.0,3.4E-10,12.54,,,,,,0,Simbad,110.16866,37.1406,07204044+3708263,110.168529,+37.140652,0.150,0.070,0,11.274,11.043,11.015,0.022,0.032,0.021,AAA,222,0,2451511.8508
0.169728,121.9156494,31.5513164,138,2469-686-1,*,HD 67087 b,76.92,0.64,0.0,1.6E-8,85.57,1.41,,2.31,,,1,Simbad,121.91565,31.55132,08073975+3133049,121.915641,+31.551363,0.070,0.060,90,7.098,6.905,6.866,0.019,0.017,0.018,AAA,111,0,2450884.7348
0.097252,133.4616892,33.0568108,139,2488-663-1,*,HD 75898 b,76.86,1.6,0.0,1.6E-8,94.08,1.55,,1.43,,2.7,1,Simbad,133.46169,33.05681,08535079+3303245,133.461657,+33.056812,0.070,0.060,90,6.925,6.738,6.662,0.020,0.036,0.026,AAA,111,0,2451507.8962
0.084092,140.1029575,33.8824214,140,2496-1114-1,*,WASP-13 b,200.38,0.58,0.0,1.7E-9,31.78,1.37,0.4,0.72,1.22,0.36,1,Simbad,140.10296,33.88242,09202471+3352567,140.102976,+33.882439,0.070,0.060,0,9.442,9.182,9.119,0.021,0.016,0.016,AAA,222,0,2450896.6695
0.030531,143.9382669,34.7807417,141,2497-418-1,*,HD 82886 b,127.97,0.63,0.0,2.9E-8,191.12,5.26,,2.53,,2.33,1,Simbad,143.93827,34.78074,09354518+3446506,143.938258,+34.780746,0.090,0.060,0,5.995,5.563,5.452,0.021,0.018,0.018,AAA,111,0,2450896.7914
0.166573,152.17975,34.2422592,142,2506-894-1,*,HD 87883 b,18.09,2.05,0.0,3.2E-8,202.24,0.79,,0.66,,1.54,1,Simbad,152.17975,34.24226,10084315+3414322,152.179798,+34.242283,0.130,0.080,90,5.839,5.441,5.314,0.020,0.046,0.020,AAA,111,0,2451533.8954
0.499193,176.170685,30.9592914,143,2524-2128-1,*,HIP 57274 b,26.12,1.65,0.0,1.1E-8,138.74,0.78,,0.29,,0.02,1,Simbad,176.17068,30.95929,11444095+3057339,176.170665,+30.959429,0.080,0.070,90,6.958,6.408,6.286,0.019,0.018,0.021,AAA,111,0,2450880.9453
0.097566,195.9818614,30.6400775,144,2532-556-1,*,KELT-6 b,244.59,2.65,0.0,2.0E-9,32.82,1.73,0.39,1.42,1.3,0.52,1,Simbad,195.98186,30.64008,13035564+3038241,195.981868,+30.640051,0.070,0.070,90,9.302,9.137,9.083,0.021,0.022,0.017,AAA,222,0,2450884.8934
0.030680,229.9913644,36.2296625,145,2569-1599-1,*,HAT-P-4 b,,1.01,0.0,8.7E-10,23.48,,,,,,0,Simbad,229.99136,36.22966,15195792+3613467,229.991354,+36.229664,0.070,0.070,0,10.100,9.837,9.770,0.022,0.020,0.020,AAA,222,0,2451217.0430
3.221733,229.9913644,36.2296625,145,2569-1599-1,*,HAT-P-4 b,,1.01,0.0,8.7E-10,23.48,,,,,,0,Simbad,229.99136,36.22966,15195794+3613500,229.991427,+36.230556,0.330,0.240,5,14.878,10.390,10.299,0.382,,,DUU,200,0,2451217.0430
0.251464,240.2610906,33.3035092,146,2576-2228-1,*,rho CrB b,,7.0,0.0,1.9E-7,354.1,,,,,,0,Simbad,240.26109,33.30351,16010264+3318124,240.261024,+33.303467,0.130,0.130,90,4.088,3.989,3.857,0.240,0.036,0.036,DEE,311,0,2451601.9461
0.181454,237.8080469,35.6573797,147,2578-1609-1,*,kappa CrB b,,2.53,0.0,4.0E-7,743.27,,,,,,0,Simbad,237.80805,35.65738,15511394+3539264,237.808104,+35.657360,0.290,0.290,0,3.035,2.575,2.423,0.184,0.180,0.242,CCD,333,0,2451607.9284
0.588978,257.3942406,33.3558572,148,2595-1464-1,*,HD 155358 b,44.02,0.95,0.0,3.5E-8,145.94,1.38,,1.15,,0.99,1,Simbad,257.39424,33.35586,17093465+3321214,257.394392,+33.355961,0.060,0.060,0,6.158,5.886,5.808,0.024,0.023,0.018,AAA,111,0,2450912.9842
0.087728,268.3043758,37.2118319,149,2620-648-1,*,TrES-4 b,433.05,0.74,0.0,6.3E-10,17.87,1.66,0.33,1.08,1.61,0.78,1,Simbad,268.30438,37.21183,17531304+3712426,268.304354,+37.211849,0.060,0.060,90,10.583,10.350,10.330,0.018,0.015,0.019,AAA,222,0,2451278.9369
0.089215,274.4054706,36.6214344,150,2634-1087-1,*,HAT-P-5 b,310.54,0.53,0.0,4.7E-10,16.81,1.12,1.04,1.04,1.21,0.98,1,Simbad,274.40547,36.62143,18173731+3637170,274.405476,+36.621410,0.070,0.070,0,10.844,10.522,10.481,0.021,0.021,0.018,AAA,222,0,2450961.9324
0.082379,278.6317669,35.6615244,151,2636-195-1,*,WASP-3 b,245.81,0.68,0.01,1.7E-9,27.19,1.44,0.77,1.62,1.42,2.43,1,Simbad,278.63177,35.66152,18343163+3539415,278.631793,+35.661533,0.060,0.060,0,9.603,9.407,9.361,0.020,0.014,0.015,AAA,222,0,2450923.9560
0.442251,287.2629125,34.59985,152,2648-2151-1,*,HD 178911 B b,41.51,5.01,0.0,1.9E-8,121.55,1.08,,1.24,,8.03,1,Simbad,287.26291,34.59985,19090309+3435590,287.262895,+34.599728,0.060,0.060,0,6.749,6.458,6.375,0.019,0.020,0.023,AAA,111,0,2450927.9802
0.060166,280.9004558,36.5566064,153,2649-1153-1,*,HD 173416 b,,1.12,0.04,1.3E-7,438.75,,,,,,0,Simbad,280.90046,36.55661,18433610+3633237,280.900435,+36.556606,0.290,0.290,0,4.580,3.929,3.814,0.264,0.232,0.354,DDD,333,0,2451288.9960
0.047601,286.0410481,36.6326219,154,2652-1324-1,*,TrES-1 b,159.9,0.58,0.0,6.1E-10,24.8,0.85,2.37,1.04,1.13,0.84,1,Simbad,286.04105,36.63262,19040985+3637574,286.041062,+36.632629,0.080,0.060,0,10.294,9.887,9.819,0.022,0.021,0.019,AAA,222,0,2450956.9467
0.274191,288.7092031,31.8603508,155,2653-91-1,*,HD 180314 b,121.37,2.34,0.04,7.6E-8,311.74,8.13,,2.2,,20.13,1,Simbad,288.7092,31.86035,19145022+3151371,288.709290,+31.860332,0.080,0.080,90,4.892,4.489,4.312,0.037,0.021,0.020,EAE,111,0,2451657.9311
0.341283,296.7421375,34.4195225,156,2664-550-1,*,HD 187123 b,,0.99,0.0,2.0E-8,114.86,,,,,,0,Simbad,296.74214,34.41952,19465809+3425105,296.742068,+34.419598,0.060,0.060,90,6.635,6.395,6.337,0.019,0.017,0.016,AAA,111,0,2450934.9680
0.095770,324.5363769,30.4887369,157,2717-417-1,*,HAT-P-17 b,92.17,0.56,0.0,2.0E-9,44.15,0.87,2.08,0.99,1.05,0.58,1,Simbad,324.53638,30.48874,21380873+3029193,324.536396,+30.488716,0.070,0.060,0,9.017,8.619,8.544,0.022,0.029,0.025,AAA,222,0,2451693.9184
0.084818,343.0410956,35.4471125,158,2757-1152-1,*,HAT-P-8 b,219.26,1.49,0.09,2.2E-9,33.32,1.57,0.46,1.27,1.4,1.28,1,Simbad,343.0411,35.44711,22520985+3526495,343.041067,+35.447109,0.080,0.070,0,9.214,9.004,8.953,0.022,0.018,0.013,AAA,222,0,2450986.9335
0.011228,356.6665644,31.1559319,159,2767-1746-1,*,WASP-60 b,345.66,2.31,0.13,4.0E-10,15.8,1.17,1.03,1.19,0.88,0.55,1,Simbad,356.66656,31.15593,23463997+3109213,356.666564,+31.155935,0.080,0.070,0,10.964,10.656,10.585,0.023,0.030,0.021,AAA,222,0,2451499.7050
0.169359,9.5731733,42.4631247,160,2792-1700-1,*,HAT-P-16 b,,0.53,0.1,1.2E-9,25.41,,,,,,0,Simbad,9.57317,42.46312,00381756+4227470,9.573181,+42.463078,0.070,0.060,0,9.850,9.623,9.553,0.022,0.022,0.020,AAA,222,0,2451122.7148
3.454010,4.5953606,44.0229575,161,2794-157-1,*,GJ 15 A b,3.56,6.42,0.0,4.8E-8,472.89,0.36,,0.38,,0.02,0,Simbad,4.59536,44.02296,00182256+4401222,4.594036,+44.022842,0.120,0.120,90,5.252,4.476,4.018,0.264,0.200,0.020,DCE,331,0,2451121.7741
0.453093,24.1993422,41.4054567,162,2822-2210-1,*,upsilon And b,,1.53,0.0,6.0E-7,558.55,,,,,,0,Simbad,24.19934,41.40546,01364784+4124200,24.199358,+41.405582,0.290,0.290,90,3.175,2.957,2.859,0.210,0.178,0.274,CCD,333,0,2451119.7588
0.073778,36.7127433,37.5504822,163,2831-594-1,*,WASP-33 b,117.53,2.17,0.0,1.4E-8,61.2,1.55,0.7,1.85,1.6,1.17,1,Simbad,36.71274,37.55048,02265106+3733017,36.712769,+37.550480,0.060,0.060,90,7.581,7.516,7.468,0.021,0.024,0.024,AAA,111,0,2451096.9283
0.236358,39.2579631,42.06263,164,2840-1669-1,*,HD 16175 b,58.35,0.91,0.0,3.2E-8,136.92,1.72,,1.63,,5.1,1,Simbad,39.25796,42.06263,02370189+4203453,39.257900,+42.062584,0.100,0.060,0,6.166,5.922,5.853,0.039,0.029,0.021,AAA,111,0,2451834.9082
0.288849,34.1974125,43.7729967,165,2842-200-1,*,HD 13931 b,46.75,1.09,0.0,2.4E-8,123.98,1.25,,1.3,,2.2,1,Simbad,34.19741,43.773,02164736+4346230,34.197352,+43.773064,0.060,0.060,90,6.452,6.234,6.139,0.020,0.065,0.029,AAA,111,0,2451114.8612
0.112963,40.5887958,38.6186747,166,2845-2243-1,*,HD 16760 b,,2.59,0.0,9.1E-9,84.37,,,,,,1,Simbad,40.5888,38.61867,02422130+3837073,40.588776,+38.618702,0.060,0.060,90,7.431,7.095,7.033,0.023,0.055,0.023,AAA,111,0,2451454.9650
0.157230,57.0015581,40.5306369,167,2867-1318-1,*,HD 23596 b,52.16,2.84,0.0,3.3E-8,136.81,1.53,,1.47,,9.03,1,Simbad,57.00156,40.53064,03480036+4031502,57.001501,+40.530632,0.060,0.060,90,6.173,5.962,5.874,0.019,0.021,0.023,AAA,111,0,2451098.0031
0.190625,66.2480933,39.4606258,168,2883-1687-1,*,HAT-P-15 b,195.39,1.32,0.15,8.4E-10,25.57,1.07,1.14,1.0,1.06,1.94,1,Simbad,66.24809,39.46063,04245952+3927382,66.248026,+39.460636,0.060,0.060,90,10.194,9.752,9.641,0.023,0.029,0.019,AAA,222,0,2451455.9263
0.249402,97.1904647,38.9629631,169,2927-323-1,*,HD 45350 b,,1.53,0.0,2.0E-8,123.59,,,,,,0,Simbad,97.19046,38.96296,06284571+3857469,97.190474,+38.963032,0.060,0.060,0,6.587,6.279,6.224,0.018,0.018,0.017,AAA,111,0,2450882.7096
